problem,algorithm,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat19,nsgaii,21,0.984530309985929,0.0009131329147425123,0.9846379060113555,0.006603441668173679,0.0003942951812876706,0.0065556390552038105,1.2600732238054098,0.05271476491715557,1.250434999994468
zcat2,gces,21,0.9923362031526936,0.0003827137957889285,0.992413824377714,0.005636825586740638,0.00029082070404399613,0.005589779122650372,5.841630357141618,0.5631399141947049,6.13841240000329
zcat2,nsgaii,21,0.991208744206832,0.00045617948282988916,0.99132041230335,0.006306468067104111,0.00031412567572537177,0.00618797900259173,1.594809057141122,0.05617425989628817,1.590776700002607
zcat20,gces,21,0.983798813438713,0.023172930676110117,0.9911179534848954,0.035470891299144054,0.09928937715248227,0.004114911674813276,4.9432601857115515,0.12644056172905388,4.926159700000426
zcat20,nsgaii,21,0.9821178658540782,0.022050765504067166,0.9889153871390901,0.035608694385539846,0.09750749559689198,0.004759609509218869,1.2376890142844612,0.06296304591064238,1.2308439000044018
zcat3,gces,21,0.9839331571009947,0.0006589256806410562,0.9840671166630753,0.006971978413124662,0.0002572427006287648,0.006880903578286217,4.805020961899399,0.1723059710978689,4.8393682000169065
zcat3,nsgaii,21,0.9815233561813501,0.0009166342111864257,0.9815795336644629,0.007923664485687118,0.0003788278007173221,0.007835786440355872,1.2250483809496342,0.06337187179328495,1.2100433000014164
zcat4,gces,21,0.9839335983806418,0.000658943040453921,0.9840677559044302,0.006975592434863443,0.00025471459849825656,0.006891180060543199,4.856261847621118,0.18679461249680349,4.897037200018531
zcat4,nsgaii,21,0.9815237213641596,0.0009165980602307033,0.981580174136922,0.007918288884335625,0.00038028865839171425,0.007882277467779671,1.2418108619042738,0.060685258466607994,1.2356008999922778
zcat5,gces,21,0.9951642634943267,0.0002769045528248053,0.9951937978454765,0.004060912700888656,0.0003325591640657231,0.004068487854932362,5.090253461907629,0.3654787312334588,4.992127500008792
zcat5,nsgaii,21,0.994112300340574,0.0003757641173365736,0.9941010096900916,0.004390477028123818,0.00027446684440499895,0.004383305567755796,1.2613671999965195,0.06023594799413794,1.2675100000051316
zcat6,gces,21,0.9950866622120941,0.0004163037646292372,0.9951159774276799,0.0029823672425624117,0.0003754517217779515,0.0029555394338009818,4.707135709523711,0.19420835973213757,4.70794979998027
zcat6,nsgaii,21,0.9944915618328769,0.0003063420799843352,0.9945510318159388,0.00298048639815043,0.00020443157292873745,0.0028985354101873626,1.4436849142893196,0.135565853351635,1.3880481000232976
zcat7,gces,21,0.9838027802091106,0.02316577142328614,0.9911194436113092,0.035752935582348766,0.1001984086524822,0.004106044098131361,5.383825119044299,0.20035061681420893,5.366814399982104
zcat7,nsgaii,21,0.9821221183532445,0.022043725809672787,0.9889169853710377,0.03588726806415051,0.09840131856727008,0.00476209633282338,1.3281851761996568,0.04316386977289753,1.3164176999998745
zcat8,gces,21,0.975988269740663,0.0011332897479638482,0.9762416133393351,0.0051924696328384335,0.0003899087646093542,0.005143807429907799,5.597031852380106,0.20763416035037366,5.630667899997206
zcat8,nsgaii,21,0.9680037051569133,0.0014900370704467195,0.9680151194412666,0.006310121868587015,0.0002882363199695691,0.006328138979418213,1.3946855142865042,0.1297913568628007,1.3549563999986276
zcat9,gces,21,0.9759830066477054,0.001133283636610398,0.9762363488802025,0.005216103505569859,0.0004175318274808676,0.0052069806040711,5.711301428569381,0.253244590435903,5.6918816000106744
zcat9,nsgaii,21,0.9679984851213438,0.0014900290353054844,0.9680098993441447,0.006315404194619688,0.0002932503837968325,0.006337919235252313,1.4274340428569954,0.056181149858994486,1.4428136000060476
