problem,n_common_seeds,nsgaii_hv_mean,nsgaii_hv_median,gces_hv_mean,gces_hv_median,delta_hv_gces_minus_nsgaii,delta_hv_median_gces_minus_nsgaii,gces_hv_seed_wins,gces_hv_seed_ties,gces_hv_seed_losses,hv_wilcoxon_p_value,hv_wilcoxon_significant_alpha,nsgaii_igd_plus_mean,nsgaii_igd_plus_median,gces_igd_plus_mean,gces_igd_plus_median,delta_igd_plus_gces_minus_nsgaii,delta_igd_plus_median_gces_minus_nsgaii,gces_igd_plus_seed_wins,gces_igd_plus_seed_ties,gces_igd_plus_seed_losses,igd_plus_wilcoxon_p_value,igd_plus_wilcoxon_significant_alpha,gces_both_metric_seed_wins
zcat19,21,0.984530309985929,0.9846379060113555,0.9861374443950326,0.9860676617375723,0.0016071344091035389,0.0014297557262168414,19,0,2,,False,0.006603441668173679,0.0065556390552038105,0.0059359089319688365,0.005958312064061541,-0.0006675327362048429,-0.0005973269911422694,19,0,2,,False,19
zcat2,21,0.991208744206832,0.99132041230335,0.9923362031526936,0.992413824377714,0.0011274589458615258,0.0010934120743639753,20,0,1,,False,0.006306468067104111,0.00618797900259173,0.005636825586740638,0.005589779122650372,-0.0006696424803634736,-0.0005981998799413583,20,0,1,,False,20
zcat20,21,0.9821178658540782,0.9889153871390901,0.983798813438713,0.9911179534848954,0.0016809475846347732,0.00220256634580529,19,0,2,,False,0.035608694385539846,0.004759609509218869,0.035470891299144054,0.004114911674813276,-0.00013780308639579214,-0.0006446978344055929,19,0,2,,False,19
zcat3,21,0.9815233561813501,0.9815795336644629,0.9839331571009947,0.9840671166630753,0.0024098009196446,0.002487582998612403,21,0,0,,False,0.007923664485687118,0.007835786440355872,0.006971978413124662,0.006880903578286217,-0.0009516860725624554,-0.000954882862069655,21,0,0,,False,21
zcat4,21,0.9815237213641596,0.981580174136922,0.9839335983806418,0.9840677559044302,0.002409877016482209,0.0024875817675081846,21,0,0,,False,0.007918288884335625,0.007882277467779671,0.006975592434863443,0.006891180060543199,-0.0009426964494721815,-0.0009910974072364718,21,0,0,,False,21
zcat5,21,0.994112300340574,0.9941010096900916,0.9951642634943267,0.9951937978454765,0.0010519631537527774,0.0010927881553848273,21,0,0,,False,0.004390477028123818,0.004383305567755796,0.004060912700888656,0.004068487854932362,-0.0003295643272351618,-0.0003148177128234342,16,0,5,,False,16
zcat6,21,0.9944915618328769,0.9945510318159388,0.9950866622120941,0.9951159774276799,0.0005951003792171727,0.0005649456117410301,20,0,1,,False,0.00298048639815043,0.0028985354101873626,0.0029823672425624117,0.0029555394338009818,1.8808444119818545e-06,5.700402361361913e-05,10,0,11,,False,10
zcat7,21,0.9821221183532445,0.9889169853710377,0.9838027802091106,0.9911194436113092,0.001680661855866128,0.002202458240271543,19,0,2,,False,0.03588726806415051,0.00476209633282338,0.035752935582348766,0.004106044098131361,-0.00013433248180174523,-0.0006560522346920191,19,0,2,,False,19
zcat8,21,0.9680037051569133,0.9680151194412666,0.975988269740663,0.9762416133393351,0.007984564583749743,0.00822649389806851,21,0,0,,False,0.006310121868587015,0.006328138979418213,0.0051924696328384335,0.005143807429907799,-0.0011176522357485815,-0.001184331549510414,21,0,0,,False,21
zcat9,21,0.9679984851213438,0.9680098993441447,0.9759830066477054,0.9762363488802025,0.007984521526361643,0.008226449536057778,21,0,0,,False,0.006315404194619688,0.006337919235252313,0.005216103505569859,0.0052069806040711,-0.0010993006890498286,-0.001130938631181213,21,0,0,,False,21
