variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,re21,2-obj,numba,50000,6,20000,3.278180200024508,0.9892733700997586
baseline,re21,2-obj,numba,50000,6,50000,6.263774499995634,0.9898833651810297
baseline,re21,2-obj,numba,50000,7,5000,2.0042051000054926,0.9895076085603567
baseline,re21,2-obj,numba,50000,7,10000,2.2535046999691986,0.9897205179200974
baseline,re21,2-obj,numba,50000,7,20000,2.9151877999538556,0.9896907624534693
baseline,re21,2-obj,numba,50000,7,50000,5.530611599970143,0.9899525218178268
baseline,re21,2-obj,numba,50000,8,5000,1.4405994999688119,0.9891318464221831
baseline,re21,2-obj,numba,50000,8,10000,1.6410278999828734,0.9899332106643695
baseline,re21,2-obj,numba,50000,8,20000,2.04963319998933,0.9900981344268751
baseline,re21,2-obj,numba,50000,8,50000,3.980157000012696,0.9903212144315268
baseline,re21,2-obj,numba,50000,9,5000,1.5559033999452367,0.9890771543803512
baseline,re21,2-obj,numba,50000,9,10000,1.9274709999444894,0.9900842869669971
baseline,re21,2-obj,numba,50000,9,20000,2.6558244999614544,0.9907804750696598
baseline,re21,2-obj,numba,50000,9,50000,5.092113899998367,0.9902236678016804
baseline,re21,2-obj,numba,50000,10,5000,1.7054932999890298,0.9896831372654002
baseline,re21,2-obj,numba,50000,10,10000,1.9375552999554202,0.9905086406410963
baseline,re21,2-obj,numba,50000,10,20000,2.5700826999964193,0.9905752593729714
baseline,re21,2-obj,numba,50000,10,50000,5.176385400001891,0.9904440682270537
baseline,re21,2-obj,numba,50000,11,5000,1.4806674999999814,0.9886045622911213
baseline,re21,2-obj,numba,50000,11,10000,1.8574060999671929,0.9904490517884472
baseline,re21,2-obj,numba,50000,11,20000,2.6334370999829844,0.9902151072890552
baseline,re21,2-obj,numba,50000,11,50000,5.208553000004031,0.9905408042126709
baseline,re21,2-obj,numba,50000,12,5000,1.3428007999900728,0.9900562172340858
baseline,re21,2-obj,numba,50000,12,10000,1.5639349999837577,0.9898686214227882
baseline,re21,2-obj,numba,50000,12,20000,1.9592693999875337,0.9908694931479246
baseline,re21,2-obj,numba,50000,12,50000,3.925037599983625,0.9902363356038321
baseline,re21,2-obj,numba,50000,13,5000,1.5516870999708772,0.9896806276902627
baseline,re21,2-obj,numba,50000,13,10000,1.973119999980554,0.9887107121182158
baseline,re21,2-obj,numba,50000,13,20000,2.687590099987574,0.9909162835454947
baseline,re21,2-obj,numba,50000,13,50000,5.38552269997308,0.9901844165410021
baseline,re21,2-obj,numba,50000,14,5000,1.257711999991443,0.9896710424201522
baseline,re21,2-obj,numba,50000,14,10000,1.4462391999550164,0.9899103931631604
baseline,re21,2-obj,numba,50000,14,20000,1.8510867999866605,0.9905877256626777
baseline,re21,2-obj,numba,50000,14,50000,3.7839633999974467,0.9904179744058662
baseline,re21,2-obj,numba,50000,15,5000,1.6954898999538273,0.9903820686571823
baseline,re21,2-obj,numba,50000,15,10000,2.0824206999968737,0.9895628550938712
baseline,re21,2-obj,numba,50000,15,20000,2.784254999947734,0.9901757650048233
baseline,re21,2-obj,numba,50000,15,50000,5.532516199979,0.9906531110023835
baseline,re21,2-obj,numba,50000,16,5000,2.0487780999974348,0.9904712409861945
baseline,re21,2-obj,numba,50000,16,10000,2.3792432000045665,0.9891729745576199
baseline,re21,2-obj,numba,50000,16,20000,3.246105600032024,0.9900891263940256
baseline,re21,2-obj,numba,50000,16,50000,5.724833399988711,0.9912445539338192
baseline,re21,2-obj,numba,50000,17,5000,2.1005792999640107,0.9897049458006856
baseline,re21,2-obj,numba,50000,17,10000,2.4599834999535233,0.9906224535462266
baseline,re21,2-obj,numba,50000,17,20000,3.2723629999672994,0.9901132753931616
baseline,re21,2-obj,numba,50000,17,50000,5.666484699991997,0.9893741846072079
baseline,re21,2-obj,numba,50000,18,5000,1.5924994999659248,0.990189034204291
baseline,re21,2-obj,numba,50000,18,10000,1.8400869999895804,0.9904517449746721
baseline,re21,2-obj,numba,50000,18,20000,2.402542600000743,0.9896807561117679
baseline,re21,2-obj,numba,50000,18,50000,4.563551599974744,0.9898471952504896
baseline,re21,2-obj,numba,50000,19,5000,2.159979799995199,0.9899010186763895
baseline,re21,2-obj,numba,50000,19,10000,2.4923589999671094,0.9901175874590714
baseline,re21,2-obj,numba,50000,19,20000,3.3891245999839157,0.9900877167255956
baseline,re21,2-obj,numba,50000,19,50000,5.729695799993351,0.9902671623157131
baseline,re21,2-obj,numba,50000,20,5000,3.709740799968131,0.990167049973261
baseline,re21,2-obj,numba,50000,20,10000,4.140873399970587,0.9900500293680309
baseline,re21,2-obj,numba,50000,20,20000,4.900736499985214,0.9903785564276949
baseline,re21,2-obj,numba,50000,20,50000,7.195359499950428,0.9903028086065573
baseline,re21,2-obj,numba,50000,21,5000,0.5060697000008076,0.9901498043656736
baseline,re21,2-obj,numba,50000,21,10000,1.0810151000041515,0.990364905292256
baseline,re21,2-obj,numba,50000,21,20000,2.0934520000009798,0.9900210965024163
baseline,re21,2-obj,numba,50000,21,50000,5.235089999972843,0.9904703246711848
baseline,re21,2-obj,numba,50000,22,5000,0.5097374999895692,0.9901569258238986
baseline,re21,2-obj,numba,50000,22,10000,0.7838994999765418,0.9888834419503202
baseline,re21,2-obj,numba,50000,22,20000,1.4395393999875523,0.9898649890637995
baseline,re21,2-obj,numba,50000,22,50000,3.060819900012575,0.9900015180190074
baseline,re21,2-obj,numba,50000,23,5000,0.5891722000087611,0.9893044477079229
baseline,re21,2-obj,numba,50000,23,10000,0.8212786000221968,0.989865965385281
baseline,re21,2-obj,numba,50000,23,20000,1.5610177000053227,0.9896254505015498
baseline,re21,2-obj,numba,50000,23,50000,4.570253400015645,0.9898455765666588
baseline,re21,2-obj,numba,50000,24,5000,0.5274464999674819,0.9899851171667358
baseline,re21,2-obj,numba,50000,24,10000,1.2591096999822184,0.990384753377661
baseline,re21,2-obj,numba,50000,24,20000,2.787453499971889,0.9909905872350447
baseline,re21,2-obj,numba,50000,24,50000,6.511492099962197,0.9901066017430166
baseline,re21,2-obj,numba,50000,25,5000,0.4425041999784298,0.9899845337503933
baseline,re21,2-obj,numba,50000,25,10000,0.8588055000291206,0.9908167759936789
baseline,re21,2-obj,numba,50000,25,20000,1.2619338000076823,0.9909738387200466
baseline,re21,2-obj,numba,50000,25,50000,3.1841293000034057,0.9897095223939161
