variant,problem,obj_group,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,re21,2-obj,numba,50000,9,5000,1.2909489999874495,0.9890771543803512
baseline,re21,2-obj,numba,50000,9,10000,1.5423468999797478,0.9900842869669971
baseline,re21,2-obj,numba,50000,9,20000,2.0830226999823935,0.9907804750696598
baseline,re21,2-obj,numba,50000,9,50000,3.9091018000035547,0.9902236678016804
baseline,re21,2-obj,numba,50000,10,5000,0.18703849997837096,0.9896831372654002
baseline,re21,2-obj,numba,50000,10,10000,0.398135999974329,0.9905086406410963
baseline,re21,2-obj,numba,50000,10,20000,0.824617300007958,0.9905752593729714
baseline,re21,2-obj,numba,50000,10,50000,2.3671908999676816,0.9904440682270537
baseline,re21,2-obj,numba,50000,11,5000,0.2215421000146307,0.9886045622911213
baseline,re21,2-obj,numba,50000,11,10000,0.45169660000829026,0.9904490517884472
baseline,re21,2-obj,numba,50000,11,20000,0.9219703000271693,0.9902151072890552
baseline,re21,2-obj,numba,50000,11,50000,2.6267314000288025,0.9905408042126709
baseline,re21,2-obj,numba,50000,12,5000,0.22788979997858405,0.9900562172340858
baseline,re21,2-obj,numba,50000,12,10000,0.45731520000845194,0.9898686214227882
baseline,re21,2-obj,numba,50000,12,20000,0.9330897000036202,0.9908694931479246
baseline,re21,2-obj,numba,50000,12,50000,2.443539100000635,0.9902363356038321
baseline,re21,2-obj,numba,50000,13,5000,0.22144579997984692,0.9896806276902627
baseline,re21,2-obj,numba,50000,13,10000,0.43795479997061193,0.9887107121182158
baseline,re21,2-obj,numba,50000,13,20000,0.9241378999431618,0.9909162835454947
baseline,re21,2-obj,numba,50000,13,50000,3.369780799956061,0.9901844165410021
baseline,re21,2-obj,numba,50000,14,5000,0.29708709998521954,0.9896710424201522
baseline,re21,2-obj,numba,50000,14,10000,0.5864717999938875,0.9899103931631604
baseline,re21,2-obj,numba,50000,14,20000,1.1999957999796607,0.9905877256626777
baseline,re21,2-obj,numba,50000,14,50000,3.705429899971932,0.9904179744058662
baseline,re21,2-obj,numba,50000,15,5000,0.30495139997219667,0.9903820686571823
baseline,re21,2-obj,numba,50000,15,10000,0.608177300018724,0.9895628550938712
baseline,re21,2-obj,numba,50000,15,20000,1.2082780000055209,0.9901757650048233
baseline,re21,2-obj,numba,50000,15,50000,3.1884418000117876,0.9906531110023835
baseline,re21,2-obj,numba,50000,16,5000,0.2831747999880463,0.9904712409861945
baseline,re21,2-obj,numba,50000,16,10000,0.5825719999847934,0.9891729745576199
baseline,re21,2-obj,numba,50000,16,20000,1.355885200027842,0.9900891263940256
baseline,re21,2-obj,numba,50000,16,50000,4.082010400015861,0.9912445539338192
baseline,re21,2-obj,numba,50000,17,5000,0.28781800001161173,0.9897049458006856
baseline,re21,2-obj,numba,50000,17,10000,0.5794244999997318,0.9906224535462266
baseline,re21,2-obj,numba,50000,17,20000,1.8137723000254482,0.9901132753931616
baseline,re21,2-obj,numba,50000,17,50000,4.064450600009877,0.9893741846072079
baseline,re21,2-obj,numba,50000,18,5000,0.28789030003827065,0.990189034204291
baseline,re21,2-obj,numba,50000,18,10000,0.595298400032334,0.9904517449746721
baseline,re21,2-obj,numba,50000,18,20000,1.977701399999205,0.9896807561117679
baseline,re21,2-obj,numba,50000,18,50000,4.048979400016833,0.9898471952504896
baseline,re21,2-obj,numba,50000,19,5000,0.28673020005226135,0.9899010186763895
baseline,re21,2-obj,numba,50000,19,10000,0.5764241000288166,0.9901175874590714
baseline,re21,2-obj,numba,50000,19,20000,2.027300900022965,0.9900877167255956
baseline,re21,2-obj,numba,50000,19,50000,4.002389800036326,0.9902671623157131
baseline,re21,2-obj,numba,50000,20,5000,0.4090604999801144,0.990167049973261
