family,n_obj,algorithm,runs,mean,std,median,q25,q75,iqr,scope,metric,direction
ZCAT,5,nsgaii_archive_hybrid,30,194700177.12896827,33892343.08967654,193674111.28731745,179066000.89914232,208815585.1585997,29749584.25945738,final_population,hv,max
ZCAT,5,nsgaii_archive_off,30,324610953.98743457,25139987.80482964,320296886.46153355,303572686.9230566,347938861.355309,44366174.43225241,final_population,hv,max
ZCAT,5,nsgaii_archive_passive,30,324610953.98743457,25139987.80482964,320296886.46153355,303572686.9230566,347938861.355309,44366174.43225241,final_population,hv,max
ZDT,2,nsgaii_archive_hybrid,50,0.8530652647820337,0.3080074920140688,0.9027404867633575,0.5651905276198375,0.9179500905503224,0.35275956293048494,final_population,hv,max
ZDT,2,nsgaii_archive_off,50,0.8524242793966035,0.3118854766062134,0.8979289660411045,0.5756726602084812,0.9189071222558044,0.3432344620473232,final_population,hv,max
ZDT,2,nsgaii_archive_passive,50,0.8524242793966035,0.3118854766062134,0.8979289660411045,0.5756726602084812,0.9189071222558044,0.3432344620473232,final_population,hv,max
DTLZ,2,nsgaii_archive_hybrid,30,0.9165994444628714,0.9220116988749337,0.5933261675914054,0.00382294354953345,2.152374810606404,2.14855186705687,final_population,indicator_igd_plus,min
DTLZ,2,nsgaii_archive_off,30,0.916260673466356,0.922318529729314,0.5931609003361251,0.004027530234140175,2.1524206098276615,2.148393079593521,final_population,indicator_igd_plus,min
DTLZ,2,nsgaii_archive_passive,30,0.916260673466356,0.922318529729314,0.5931609003361251,0.004027530234140175,2.1524206098276615,2.148393079593521,final_population,indicator_igd_plus,min
DTLZ,3,nsgaii_archive_hybrid,30,1.1069657617985973,1.1385761025243255,0.6448090018648672,0.029103645772462425,2.6469354818099116,2.6178318360374493,final_population,indicator_igd_plus,min
DTLZ,3,nsgaii_archive_off,30,1.10048379496049,1.1397961864152022,0.6311188951826032,0.03158053146975603,2.6420475535001535,2.6104670220303974,final_population,indicator_igd_plus,min
DTLZ,3,nsgaii_archive_passive,30,1.10048379496049,1.1397961864152022,0.6311188951826032,0.03158053146975603,2.6420475535001535,2.6104670220303974,final_population,indicator_igd_plus,min
DTLZ,5,nsgaii_archive_hybrid,30,10.849849843373534,17.350305053687137,3.4500642738054186,1.7805418053576214,13.37694368146166,11.596401876104037,final_population,indicator_igd_plus,min
DTLZ,5,nsgaii_archive_off,30,9.136562827420606,12.350038233012386,3.4182377036688694,0.15587390778155208,13.853642493504555,13.697768585723002,final_population,indicator_igd_plus,min
DTLZ,5,nsgaii_archive_passive,30,9.136562827420606,12.350038233012386,3.4182377036688694,0.15587390778155208,13.853642493504555,13.697768585723002,final_population,indicator_igd_plus,min
WFG,2,nsgaii_archive_hybrid,30,0.2739544497841103,0.32387882928780953,0.0491109930729734,0.020825023952880824,0.6733815825348293,0.6525565585819485,final_population,indicator_igd_plus,min
WFG,2,nsgaii_archive_off,30,0.26605013118772,0.3344405398012674,0.02743533827617075,0.01407141647026975,0.6716350795561128,0.657563663085843,final_population,indicator_igd_plus,min
WFG,2,nsgaii_archive_passive,30,0.26605013118772,0.3344405398012674,0.02743533827617075,0.01407141647026975,0.6716350795561128,0.657563663085843,final_population,indicator_igd_plus,min
WFG,3,nsgaii_archive_hybrid,30,0.415068932089897,0.09975166722142494,0.4248487325655169,0.34855243488149257,0.48108935049976764,0.13253691561827508,final_population,indicator_igd_plus,min
WFG,3,nsgaii_archive_off,30,0.3140438162443384,0.084606468393055,0.28742619314934625,0.2477225362174877,0.37250457127397124,0.12478203505648355,final_population,indicator_igd_plus,min
WFG,3,nsgaii_archive_passive,30,0.3140438162443384,0.084606468393055,0.28742619314934625,0.2477225362174877,0.37250457127397124,0.12478203505648355,final_population,indicator_igd_plus,min
WFG,5,nsgaii_archive_hybrid,30,1.04738415964904,0.5740176106205473,0.8287853220423222,0.5056767943738139,1.668986016449602,1.1633092220757881,final_population,indicator_igd_plus,min
WFG,5,nsgaii_archive_off,30,0.6753632567640468,0.19586660114983367,0.6295059325075111,0.49465762744100594,0.8552604341310901,0.36060280669008415,final_population,indicator_igd_plus,min
WFG,5,nsgaii_archive_passive,30,0.6753632567640468,0.19586660114983367,0.6295059325075111,0.49465762744100594,0.8552604341310901,0.36060280669008415,final_population,indicator_igd_plus,min
ZCAT,2,nsgaii_archive_hybrid,30,0.2113310469888014,0.17418625087399026,0.10096462416400909,0.08007187451926237,0.45300635669234746,0.3729344821730851,final_population,indicator_igd_plus,min
ZCAT,2,nsgaii_archive_off,30,0.20697217845447616,0.17716550759128114,0.0919959924731601,0.07598380495209067,0.45297231022384216,0.3769885052717515,final_population,indicator_igd_plus,min
ZCAT,2,nsgaii_archive_passive,30,0.20697217845447616,0.17716550759128114,0.0919959924731601,0.07598380495209067,0.45297231022384216,0.3769885052717515,final_population,indicator_igd_plus,min
ZCAT,3,nsgaii_archive_hybrid,30,1.183181951621449,0.7641754950869859,1.1107770703545456,0.3323323368315777,2.0239760550751447,1.6916437182435669,final_population,indicator_igd_plus,min
ZCAT,3,nsgaii_archive_off,30,1.0550046256830843,0.790103314922464,0.9646753147964904,0.1249219770173505,1.9771319647488987,1.8522099877315483,final_population,indicator_igd_plus,min
ZCAT,3,nsgaii_archive_passive,30,1.0550046256830843,0.790103314922464,0.9646753147964904,0.1249219770173505,1.9771319647488987,1.8522099877315483,final_population,indicator_igd_plus,min
ZCAT,5,nsgaii_archive_hybrid,30,21.900985493749786,7.53650980010478,20.62234208884282,16.65179001460377,26.036084996151036,9.384294981547267,final_population,indicator_igd_plus,min
