family,n_obj,algorithm,runs,mean,std,median,q25,q75,iqr,scope,metric,direction
ZDT,2,nsgaii_archive_hybrid,50,343.54,103.88911081984855,341.5,263.25,391.75,128.5,overhead,archive_size,context
ZDT,2,nsgaii_archive_off,50,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_size,context
ZDT,2,nsgaii_archive_passive,50,329.28,102.70167615825113,336.5,253.5,376.75,123.25,overhead,archive_size,context
DTLZ,2,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
DTLZ,2,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,3,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
DTLZ,3,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,5,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
DTLZ,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
DTLZ,5,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,2,nsgaii_archive_hybrid,30,79.73333333333333,1.4605934866804418,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
WFG,2,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,3,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
WFG,3,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,5,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
WFG,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
WFG,5,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,2,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,2,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
ZCAT,2,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,3,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,3,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
ZCAT,3,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,5,nsgaii_archive_hybrid,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZCAT,5,nsgaii_archive_off,30,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
ZCAT,5,nsgaii_archive_passive,30,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZDT,2,nsgaii_archive_hybrid,50,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
ZDT,2,nsgaii_archive_off,50,0.0,0.0,0.0,0.0,0.0,0.0,overhead,archive_subset_size,context
ZDT,2,nsgaii_archive_passive,50,80.0,0.0,80.0,80.0,80.0,0.0,overhead,archive_subset_size,context
