host,problem,variant,phase,n_steps,mean_reward,mean_overhead_ms,mean_family_switches,mean_regime_switches,mean_intent_switches,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased
nsgaii,zdt1,adaptive_hierarchical_joint,late,60,0.19699259700799218,0.2912750021399309,1.9,0.0,3.6,0.2,0.8,0.0,1.0,0.0,0.4,0.06666666666666667,0.1,0.18333333333333332,0.25
nsgaii,zdt1,adaptive_hierarchical_joint,mid,70,0.2184026057013993,0.2895714249461889,2.7,1.0,5.3,0.32857142857142857,0.6714285714285714,0.0,0.8428571428571429,0.15714285714285714,0.3142857142857143,0.21428571428571427,0.07142857142857142,0.17142857142857143,0.22857142857142856
nsgaii,zdt2,adaptive_flat_operator,early,60,0.2443296905208812,0.370248343097046,4.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt2,adaptive_flat_operator,late,60,0.22165867972169667,0.28282332156474393,2.0,0.0,0.0,0.18333333333333332,0.8166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt2,adaptive_flat_operator,mid,70,0.23156657475850184,0.28582714897181305,3.1,0.8,0.0,0.3,0.7,0.0,0.8857142857142857,0.11428571428571428,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt2,adaptive_flat_parameter,early,60,0.2500452393237201,0.27510832296684384,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.31666666666666665,0.16666666666666666,0.18333333333333332,0.16666666666666666,0.16666666666666666
nsgaii,zdt2,adaptive_flat_parameter,late,60,0.2306885036180521,0.3086250042542815,0.0,0.0,4.8,1.0,0.0,0.0,1.0,0.0,0.38333333333333336,0.15,0.15,0.16666666666666666,0.15
nsgaii,zdt2,adaptive_flat_parameter,mid,70,0.23812427969321867,0.33894142169239266,0.0,0.8,5.2,1.0,0.0,0.0,0.8857142857142857,0.11428571428571428,0.32857142857142857,0.15714285714285714,0.22857142857142856,0.14285714285714285,0.14285714285714285
nsgaii,zdt2,adaptive_hierarchical_joint,early,60,0.24542464897976235,0.32510166832556325,4.1,0.0,3.0,0.35,0.65,0.0,1.0,0.0,0.3333333333333333,0.18333333333333332,0.3333333333333333,0.15,0.0
nsgaii,zdt2,adaptive_hierarchical_joint,late,60,0.22105931311816857,0.3826950055857499,2.4,0.0,3.2,0.23333333333333334,0.7666666666666667,0.0,1.0,0.0,0.45,0.08333333333333333,0.11666666666666667,0.11666666666666667,0.23333333333333334
nsgaii,zdt2,adaptive_hierarchical_joint,mid,70,0.2212275928852605,0.31415714017514673,3.2,1.0,5.0,0.3,0.7,0.0,0.9285714285714286,0.07142857142857142,0.3,0.22857142857142856,0.04285714285714286,0.2,0.22857142857142856
nsgaii,zdt3,adaptive_flat_operator,early,60,0.23008431114868452,0.295313325477764,4.0,0.0,0.0,0.36666666666666664,0.6333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt3,adaptive_flat_operator,late,60,0.18683124164093956,0.267516679984207,2.6,0.0,0.0,0.26666666666666666,0.7333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt3,adaptive_flat_operator,mid,70,0.21300318264724663,0.2818485688684242,3.0,1.4,0.0,0.4,0.6,0.0,0.7857142857142857,0.21428571428571427,0.0,1.0,0.0,0.0,0.0
nsgaii,zdt3,adaptive_flat_parameter,early,60,0.24875514305646698,0.28461167045558494,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
nsgaii,zdt3,adaptive_flat_parameter,late,60,0.21635874688477286,0.2480933403906723,0.0,0.0,4.7,1.0,0.0,0.0,1.0,0.0,0.36666666666666664,0.2,0.13333333333333333,0.15,0.15
nsgaii,zdt3,adaptive_flat_parameter,mid,70,0.22666143547209616,0.25504143476220115,0.0,1.2,4.8,1.0,0.0,0.0,0.8285714285714286,0.17142857142857143,0.3142857142857143,0.14285714285714285,0.2571428571428571,0.14285714285714285,0.14285714285714285
nsgaii,zdt3,adaptive_hierarchical_joint,early,60,0.23091298903851462,0.29394834224755567,4.2,0.0,3.1,0.4,0.6,0.0,1.0,0.0,0.3333333333333333,0.23333333333333334,0.3333333333333333,0.1,0.0
nsgaii,zdt3,adaptive_hierarchical_joint,late,60,0.17614616909243794,0.2860016655176878,2.0,0.0,4.1,0.2,0.8,0.0,1.0,0.0,0.38333333333333336,0.1,0.13333333333333333,0.16666666666666666,0.21666666666666667
nsgaii,zdt3,adaptive_hierarchical_joint,mid,70,0.20406559754061263,0.2844385719592018,2.3,1.6,4.9,0.4714285714285714,0.5285714285714286,0.0,0.6285714285714286,0.37142857142857144,0.21428571428571427,0.17142857142857143,0.17142857142857143,0.2,0.24285714285714285
