run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zdt1__adaptive_flat_operator__seed7,nsgaii,adaptive_flat_operator,adaptive,zdt1,7,numpy,40,800,800,39.25540007185191,22,True,adaptive_flat_operator,simple_improvement,0.217429338481455,0.217429338481455,0.27825263034748404,9,0,2,0.5678670360110804,1.0,0.8116343490304709,19,True,0.3157894736842105,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.0,1.0,0.0,0.0,0.0,4.116637608616964,"[1.1, 4.319756293365375]",0.1579699497915092,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed7.json
nsgaii__zdt1__adaptive_flat_parameter__seed7,nsgaii,adaptive_flat_parameter,adaptive,zdt1,7,numpy,40,800,800,43.55880001094192,21,True,adaptive_flat_parameter,simple_improvement,0.23297961531651726,0.23297961531651726,0.2898157966372214,0,15,0,1.0,0.23545706371191133,1.0,19,True,1.0,0.0,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.6947874651453416,"[1.1, 4.319756293365375]",0.3943844858149803,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed7.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed7,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,7,numpy,40,800,800,38.05149998515844,15,True,adaptive_hierarchical_joint,simple_improvement,0.21884066446757486,0.21884066446757486,0.27484210257075337,10,16,0,0.5678670360110804,0.23545706371191133,1.0,19,True,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,4.077474748911807,"[1.1, 4.319756293365375]",0.1974985483110462,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed7.json
nsgaii__zdt1__fixed_sbx__seed8,nsgaii,fixed_sbx,fixed,zdt1,8,numpy,40,800,800,28.391100000590086,18,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7400237517029744,"[1.1, 4.319756293365375]",0.4106593704400879,
nsgaii__zdt1__fixed_de__seed8,nsgaii,fixed_de,fixed,zdt1,8,numpy,40,800,800,30.759899993427098,31,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.679086568204913,"[1.1, 4.319756293365375]",0.9378969789619732,
nsgaii__zdt1__adaptive_flat_operator__seed8,nsgaii,adaptive_flat_operator,adaptive,zdt1,8,numpy,40,800,800,42.1573999337852,17,True,adaptive_flat_operator,simple_improvement,0.21738375489377718,0.21738375489377718,0.3412052511090511,10,0,0,0.6121883656509695,1.0,1.0,19,True,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6230065049922113,"[1.1, 4.319756293365375]",0.49936888955646486,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed8.json
nsgaii__zdt1__adaptive_flat_parameter__seed8,nsgaii,adaptive_flat_parameter,adaptive,zdt1,8,numpy,40,800,800,36.16210003383458,15,True,adaptive_flat_parameter,simple_improvement,0.24248278362626363,0.24248278362626363,0.2853684311144446,0,18,2,1.0,0.21883656509695287,0.9002770083102491,19,True,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.7547988339880507,"[1.1, 4.319756293365375]",0.4068212613197699,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed8.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed8,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,8,numpy,40,800,800,33.24429993517697,11,True,adaptive_hierarchical_joint,simple_improvement,0.21929438833421128,0.21929438833421128,0.263163158179898,10,13,2,0.5678670360110804,0.23545706371191133,0.8116343490304709,19,True,0.3157894736842105,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.940569931905919,"[1.1, 4.319756293365375]",0.26763095466991615,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed8.json
nsgaii__zdt1__fixed_sbx__seed9,nsgaii,fixed_sbx,fixed,zdt1,9,numpy,40,800,800,22.13970001321286,20,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8665794417018056,"[1.1, 4.319756293365375]",0.31657867439344256,
nsgaii__zdt1__fixed_de__seed9,nsgaii,fixed_de,fixed,zdt1,9,numpy,40,800,800,28.8753000786528,28,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89265525726271,"[1.1, 4.319756293365375]",0.9607558422103063,
nsgaii__zdt1__adaptive_flat_operator__seed9,nsgaii,adaptive_flat_operator,adaptive,zdt1,9,numpy,40,800,800,41.28180001862347,19,True,adaptive_flat_operator,simple_improvement,0.22777544600473265,0.22777544600473265,0.2886105181747361,8,0,2,0.6121883656509695,1.0,0.8116343490304709,19,True,0.2631578947368421,0.7368421052631579,0.0,0.8947368421052632,0.10526315789473684,0.0,1.0,0.0,0.0,0.0,3.8599905686669733,"[1.1, 4.319756293365375]",0.34032409832390376,policy_states\nsgaii__zdt1__adaptive_flat_operator__seed9.json
nsgaii__zdt1__adaptive_flat_parameter__seed9,nsgaii,adaptive_flat_parameter,adaptive,zdt1,9,numpy,40,800,800,39.208400063216686,21,True,adaptive_flat_parameter,simple_improvement,0.23659738393408963,0.23659738393408963,0.285847376002685,0,16,2,1.0,0.23545706371191133,0.9002770083102491,19,True,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,3.819894025473486,"[1.1, 4.319756293365375]",0.34277550911623766,policy_states\nsgaii__zdt1__adaptive_flat_parameter__seed9.json
nsgaii__zdt1__adaptive_hierarchical_joint__seed9,nsgaii,adaptive_hierarchical_joint,adaptive,zdt1,9,numpy,40,800,800,48.02149999886751,23,True,adaptive_hierarchical_joint,simple_improvement,0.21237609071034852,0.21237609071034852,0.33587894990648093,10,14,0,0.6121883656509695,0.23545706371191133,1.0,19,True,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,4.27270038662686,"[1.1, 4.319756293365375]",0.08022410246979425,policy_states\nsgaii__zdt1__adaptive_hierarchical_joint__seed9.json
nsgaii__zdt2__fixed_sbx__seed0,nsgaii,fixed_sbx,fixed,zdt2,0,numpy,40,800,800,36.67679999489337,16,False,,,,,,0,0,0,1.0,,,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9342674932573805,"[1.1, 3.9874577193986047]",0.5468451008839574,
nsgaii__zdt2__fixed_de__seed0,nsgaii,fixed_de,fixed,zdt2,0,numpy,40,800,800,24.883799953386188,17,False,,,,,,0,0,0,1.0,,,0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.595515617201,"[1.1, 3.9874577193986047]",1.3769480804438374,
nsgaii__zdt2__adaptive_flat_operator__seed0,nsgaii,adaptive_flat_operator,adaptive,zdt2,0,numpy,40,800,800,49.84970006626099,8,True,adaptive_flat_operator,simple_improvement,0.22655379418607519,0.22655379418607519,0.34139474461737435,10,0,2,0.6121883656509695,1.0,0.9002770083102491,19,True,0.2631578947368421,0.7368421052631579,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,2.480143496838631,"[1.1, 3.9874577193986047]",0.9759701416291671,policy_states\nsgaii__zdt2__adaptive_flat_operator__seed0.json
nsgaii__zdt2__adaptive_flat_parameter__seed0,nsgaii,adaptive_flat_parameter,adaptive,zdt2,0,numpy,40,800,800,41.38419998344034,5,True,adaptive_flat_parameter,simple_improvement,0.23690873413054783,0.23690873413054783,0.306926330698556,0,15,2,1.0,0.23545706371191133,0.8116343490304709,19,True,1.0,0.0,0.0,0.8947368421052632,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,2.530556710055698,"[1.1, 3.9874577193986047]",1.1028478248714868,policy_states\nsgaii__zdt2__adaptive_flat_parameter__seed0.json
