host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
nsgaii,dtlz2,fixed_sbx,fixed,10,13.531026542846714,0.14742926538590903,23.372510040644556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
nsgaii,zdt1,adaptive_flat_operator,adaptive,10,3.9142984081306254,0.28851575905917937,38.232630013953894,0.2230418887368651,0.28745947393441673,0.5867036011080332,0.9091412742382271,1.0,9.9,0.0,1.0,0.29473684210526313,0.7052631578947368,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0,0.0,0.0,win,0.12337495742120685,1.5509257255083932
nsgaii,zdt1,adaptive_flat_parameter,adaptive,10,3.794688029163182,0.3710349080673271,39.39181000459939,0.23747397650307178,0.287732640648947,1.0,0.9313019390581717,0.2293628808864266,0.0,16.1,1.2,1.0,0.0,0.0,0.9631578947368421,0.03684210526315789,0.34736842105263155,0.1631578947368421,0.1789473684210526,0.1526315789473684,0.15789473684210525,win,0.003764578453763434,1.5979484405905242
nsgaii,zdt1,adaptive_hierarchical_joint,adaptive,10,3.9693546825717307,0.24669989206443216,38.20821997942403,0.2183907785100483,0.29276473398663494,0.5811634349030471,0.8991689750692521,0.2293628808864266,9.4,14.0,1.0,0.3,0.7,0.0,0.9421052631578947,0.05789473684210526,0.34736842105263155,0.1631578947368421,0.1631578947368421,0.1631578947368421,0.1631578947368421,win,0.17843123186231225,1.5499355202701164
nsgaii,zdt1,fixed_de,fixed,10,2.885287497911939,0.8611728808558109,23.531700007151812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss,-0.9056359527974793,0.9545751598233694
nsgaii,zdt1,fixed_sbx,fixed,10,3.7909234507094185,0.37385844606968077,24.651490000542253,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
nsgaii,zdt2,adaptive_flat_operator,adaptive,10,2.8566417414695784,0.6807767878351967,45.30662000179291,0.23246822340868317,0.31153789635649637,0.6033240997229916,0.9257617728531855,1.0,9.4,0.0,0.8,0.27368421052631575,0.7263157894736841,0.0,0.9578947368421054,0.042105263157894736,0.0,1.0,0.0,0.0,0.0,win,0.20631316445106185,1.519079431037398
nsgaii,zdt2,adaptive_flat_parameter,adaptive,10,2.515067118435274,1.039667059042914,43.35062000900507,0.23954065344753492,0.30920999553544737,1.0,0.9279778393351801,0.22770083102493072,0.0,16.9,0.8,1.0,0.0,0.0,0.9578947368421054,0.042105263157894736,0.34210526315789475,0.15789473684210525,0.1894736842105263,0.15789473684210525,0.1526315789473684,loss,-0.13526145858324234,1.4534969762871712
nsgaii,zdt2,adaptive_hierarchical_joint,adaptive,10,2.955412356097148,0.6259763365776994,47.70038998685777,0.22881562751496892,0.33925684340494244,0.5855955678670359,0.9501385041551245,0.23213296398891964,10.6,13.2,1.0,0.29473684210526313,0.7052631578947368,0.0,0.9736842105263157,0.02631578947368421,0.3578947368421052,0.16842105263157894,0.15789473684210525,0.15789473684210525,0.15789473684210525,win,0.3050837790786316,1.5993398156523357
nsgaii,zdt2,fixed_de,fixed,10,1.4818381006026933,1.712466283576627,26.973169983830303,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss,-1.1684904764158233,0.9043797067777399
nsgaii,zdt2,fixed_sbx,fixed,10,2.6503285770185165,0.9051836987799952,29.8250500112772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
nsgaii,zdt3,adaptive_flat_operator,adaptive,10,3.4999660183624046,0.25754225168013667,37.649780011270195,0.21013239975097217,0.28157473762372603,0.5479224376731302,0.8648199445983378,1.0,10.6,0.0,1.4,0.34736842105263155,0.6526315789473685,0.0,0.9210526315789472,0.07894736842105263,0.0,1.0,0.0,0.0,0.0,win,0.01522116941472973,1.4974676147350303
nsgaii,zdt3,adaptive_flat_parameter,adaptive,10,3.358329091715219,0.32184614583546994,35.639340011402965,0.23038491515537435,0.2621852688638395,1.0,0.889196675900277,0.2271468144044321,0.0,16.1,1.2,1.0,0.0,0.0,0.9368421052631579,0.06315789473684211,0.3368421052631579,0.16842105263157894,0.1894736842105263,0.1526315789473684,0.1526315789473684,loss,-0.12641575723245602,1.4175051610296465
nsgaii,zdt3,adaptive_hierarchical_joint,adaptive,10,3.578793073244216,0.22350980528039283,39.791980013251305,0.203727059556316,0.28793526580557227,0.5401662049861496,0.7772853185595567,0.22160664819944595,9.4,14.0,1.6,0.36315789473684207,0.6368421052631579,0.0,0.8631578947368421,0.13684210526315788,0.3052631578947368,0.16842105263157894,0.21052631578947367,0.15789473684210525,0.15789473684210525,win,0.09404822429654125,1.5826706391960437
nsgaii,zdt3,fixed_de,fixed,10,2.376164592531548,0.957345144749541,22.8382800007239,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss,-1.108580256416127,0.9083608102649566
nsgaii,zdt3,fixed_sbx,fixed,10,3.484744848947675,0.263081102116648,25.142300000879914,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
