host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,zdt1,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,2.8068875578321184,0.5091253560775897,624.8381399986101,0.33495476740293084,0.3172472895542007,1.0,1.0,0.4279785318559556,0.0,177.2,0.0,25.296140091086272,0.9176400621072389,0.49019997095456347,15.713900010450743,6.7786600076942705,1.3957400398794562,44.80031994753517,75.4125799270696,16.99196000408847,219.9500600603642,624.1476600014721,1.0,0.0,0.0,1.0,0.0,0.5163157894736842,0.05394736842105263,0.05184210526315789,0.34157894736842104,0.03631578947368421,win,0.7857050465463291,4.743302202573092
moead,zdt1,adaptive_hierarchical_joint_no_regime,adaptive,5,2.9921878761841825,0.42206272388992555,630.6624199991347,0.3074920714764443,0.31312147367172755,0.8523116343490305,1.0,0.41515166204986154,54.0,185.2,0.0,31.409680137585383,0.9148200202616863,0.36275996535550803,21.26526005740743,7.435020025877748,1.4318200686830096,36.402599948633,86.29337999300333,16.740320007374976,217.87554000911769,629.9658200005069,0.08157894736842106,0.9184210526315789,0.0,1.0,0.0,0.5557894736842106,0.05789473684210526,0.05368421052631579,0.2892105263157895,0.04342105263157895,win,0.9710053648983932,4.787515765072578
moead,zdt1,fixed_de,fixed,5,2.0211825112857893,1.2078934176080418,131.73062000132632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zdt1,fixed_sbx,fixed,5,2.617921706985508,0.5543627455240416,226.16910000069765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,0.5967391956997186,1.7169060617677234
moead,zdt3,adaptive_flat_operator,adaptive,5,2.8216184517020744,0.5267087142633409,638.0893399968045,0.289422057549434,0.31285760522510636,0.833115650969529,0.9724238227146815,1.0,57.6,0.0,6.8,23.211440090381075,0.9485999762546271,0.5104000942083076,14.109279958938714,6.24998004786903,1.3931800131103955,36.914300013449974,82.07821999967564,24.111860035918653,225.96759997395566,637.5090999994427,0.09236842105263157,0.9076315789473683,0.0,0.9857894736842105,0.014210526315789474,0.0,1.0,0.0,0.0,0.0,win,0.5103103599130949,4.3496134702962435
moead,zdt3,adaptive_flat_parameter,adaptive,5,2.567888135711532,0.43711871023771154,639.173220001976,0.30487017721658816,0.31695610530349716,1.0,1.0,0.47179432132963994,0.0,176.0,0.0,23.928260053799022,0.8766399827436544,0.4532400504103862,15.0481400458375,6.142359961813781,1.4078800129937008,43.101619998924434,75.94518004916608,24.526960036018863,219.38252002146328,638.2898600000772,1.0,0.0,0.0,1.0,0.0,0.4586842105263158,0.04815789473684211,0.05578947368421052,0.4076315789473684,0.029736842105263155,win,0.25658004392255274,4.357001869968776
moead,zdt3,adaptive_hierarchical_joint,adaptive,5,3.1342934294007825,0.3704055789100661,661.1428799980786,0.2734302997190193,0.3246428157906752,0.811930055401662,0.9785803324099724,0.39201592797783935,61.6,205.4,5.6,31.916320126038045,0.9930400556186214,0.44574005296453834,21.48726002778858,7.552679971558973,1.4376000181073323,37.2642799600726,87.53533999115461,24.974679984734394,227.51198000623845,660.3969599993434,0.10710526315789473,0.8928947368421053,0.0,0.9889473684210527,0.011052631578947368,0.4989473684210527,0.07052631578947369,0.06789473684210526,0.31421052631578944,0.04842105263157895,win,0.822985337611803,4.506760725143123
moead,zdt3,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,2.9294432454383155,0.5444265486599277,621.8650800001342,0.26301657516112653,0.2956039209598921,1.0,0.9549376731301938,0.36919529085872577,0.0,178.2,11.6,24.143580057716463,0.8809800288872793,0.4307399984099902,14.960440006689169,6.4510399926803075,1.4203800310497172,34.77061993762618,82.64915995969204,23.37174005660927,212.63202000700403,621.0778399996343,0.0,1.0,0.0,0.9763157894736842,0.02368421052631579,0.4473684210526316,0.05210526315789473,0.08815789473684212,0.36815789473684213,0.04421052631578947,win,0.618135153649336,4.239018831891127
moead,zdt3,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,2.567888135711532,0.43711871023771154,614.6093400006066,0.30487017721658816,0.3090841841913061,1.0,1.0,0.47179432132963994,0.0,176.0,0.0,24.30843993788585,0.8598000000347383,0.4331199437729083,15.011460044479463,6.635119953716639,1.3689399958821014,41.709239955525845,72.84789999539498,23.755780000647064,214.11330000992166,613.9504000006127,1.0,0.0,0.0,1.0,0.0,0.4586842105263158,0.04815789473684211,0.05578947368421052,0.4076315789473684,0.029736842105263155,win,0.25658004392255274,4.189559199108247
moead,zdt3,adaptive_hierarchical_joint_no_regime,adaptive,5,3.164609685376371,0.3421299485270622,651.4932399993995,0.272240917392686,0.31768431573398537,0.8135277008310249,1.0,0.39316828254847647,60.0,211.4,0.0,31.13858004944632,0.9438400113140233,0.34354004310444,20.89194004802266,7.478059982531704,1.4811999644734897,37.51181998377433,84.8462799898698,24.235000048065558,221.19105998135637,650.5176599996048,0.10631578947368421,0.8936842105263159,0.0,1.0,0.0,0.5194736842105263,0.06894736842105262,0.06263157894736841,0.29815789473684207,0.05078947368421053,win,0.8533015935873918,4.440982782320925
