run_id,host,variant,variant_group,problem,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
moead__zdt1__adaptive_flat_operator__seed0,moead,adaptive_flat_operator,adaptive,zdt1,0,numpy,40,800,800,576.5602000028593,21,True,adaptive_flat_operator,simple_improvement,0.3460970370252835,0.3460970370252835,0.28308289476722404,36,0,12,0.8770775623268698,1.0,0.9462638504155123,760,True,22.289800057478715,0.8176000774255954,0.3907998470822349,13.948400053777732,5.7089000911219046,1.424099988071248,34.802600093826186,77.02120015892433,15.438400048878975,203.97910000610864,576.2009000027319,0.06578947368421052,0.9342105263157895,0.0,0.9723684210526315,0.02763157894736842,0.0,1.0,0.0,0.0,0.0,2.8007779667247066,"[1.1, 3.8115023917328035]",0.5381971419191599,policy_states\moead__zdt1__adaptive_flat_operator__seed0.json
moead__zdt1__adaptive_flat_parameter__seed0,moead,adaptive_flat_parameter,adaptive,zdt1,0,numpy,40,800,800,560.2208999989671,19,True,adaptive_flat_parameter,simple_improvement,0.3403445792420755,0.3403445792420755,0.27749631573035577,0,169,0,1.0,0.4364854570637119,1.0,760,True,21.77999991545221,0.7762001041555777,0.37249985325615853,13.831100091920234,5.31940001383191,1.4807998522883281,36.91819992673118,72.92109994159546,16.14850011537783,199.67199985694606,559.7949999937555,1.0,0.0,0.0,1.0,0.0,0.5960526315789474,0.060526315789473685,0.06315789473684211,0.2710526315789474,0.009210526315789473,2.7137474819551874,"[1.1, 3.8115023917328035]",0.5331575503484092,policy_states\moead__zdt1__adaptive_flat_parameter__seed0.json
moead__zdt1__adaptive_hierarchical_joint__seed0,moead,adaptive_hierarchical_joint,adaptive,zdt1,0,numpy,40,800,800,589.5335000022897,15,True,adaptive_hierarchical_joint,simple_improvement,0.3079011352507371,0.3079011352507371,0.28591592109526237,26,196,0,0.9537534626038782,0.3656405817174515,1.0,760,True,28.88630008965265,0.8198999203159474,0.3979000393883325,19.071399910899345,7.066700149152894,1.5304000698961318,34.33519980171695,84.48819987825118,15.51699995616218,199.84030007617548,589.1018999973312,0.02368421052631579,0.9763157894736842,0.0,1.0,0.0,0.42105263157894735,0.04078947368421053,0.075,0.4236842105263158,0.039473684210526314,3.217228366248796,"[1.1, 3.8115023917328035]",0.30648639357537,policy_states\moead__zdt1__adaptive_hierarchical_joint__seed0.json
moead__zdt1__adaptive_hierarchical_joint_no_regime__seed0,moead,adaptive_hierarchical_joint_no_regime,adaptive,zdt1,0,numpy,40,800,800,576.6115000005811,15,True,adaptive_hierarchical_joint,simple_improvement,0.3079011352507371,0.3079011352507371,0.2833993421901189,26,196,0,0.9537534626038782,0.3656405817174515,1.0,760,True,29.73410044069169,0.8553000661777332,0.31979990308173,20.04680007667048,7.153100123105105,1.3591002716566436,32.80739991896553,83.9359000310651,15.577900034259073,195.826600145665,575.8944000044721,0.02368421052631579,0.9763157894736842,0.0,1.0,0.0,0.42105263157894735,0.04078947368421053,0.075,0.4236842105263158,0.039473684210526314,3.217228366248796,"[1.1, 3.8115023917328035]",0.30648639357537,policy_states\moead__zdt1__adaptive_hierarchical_joint_no_regime__seed0.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed0,moead,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,zdt1,0,numpy,40,800,800,589.6089999951073,19,True,adaptive_hierarchical_joint,simple_improvement,0.3403445792420755,0.3403445792420755,0.3000521053093651,0,169,0,1.0,0.4364854570637119,1.0,760,True,24.202500135288574,0.8508001046720892,0.635799893643707,14.613599989388604,6.798000082198996,1.3043000653851777,42.89430007338524,70.00119995791465,15.312899922719225,205.54329996957676,589.0091000037501,1.0,0.0,0.0,1.0,0.0,0.5960526315789474,0.060526315789473685,0.06315789473684211,0.2710526315789474,0.009210526315789473,2.7137474819551874,"[1.1, 3.8115023917328035]",0.5331575503484092,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed0.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed0,moead,adaptive_hierarchical_joint_fixed_family_de,adaptive,zdt1,0,numpy,40,800,800,622.1302999983891,16,True,adaptive_hierarchical_joint,simple_improvement,0.29709778782520657,0.29709778782520657,0.3215314475279516,0,187,8,1.0,0.5148372576177285,0.9714716066481994,760,True,24.332899985893164,1.034700035233982,0.4052999574923888,15.202499969745986,6.3344000081997365,1.3560000152210705,52.09760004800046,81.10509993275627,16.44999996642582,214.23270006198436,621.6593999997713,0.0,1.0,0.0,0.9855263157894737,0.014473684210526316,0.6973684210526315,0.075,0.04078947368421053,0.1368421052631579,0.05,3.3049980730542163,"[1.1, 3.8115023917328035]",0.295154629977422,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed0.json
moead__zdt1__fixed_sbx__seed1,moead,fixed_sbx,fixed,zdt1,1,numpy,40,800,800,119.31200000253739,15,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9004452069877873,"[1.1, 3.8115023917328035]",0.408549018096881,
moead__zdt1__fixed_de__seed1,moead,fixed_de,fixed,zdt1,1,numpy,40,800,800,137.49199999438133,33,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224669718285053,"[1.1, 3.8115023917328035]",1.1859663057615246,
moead__zdt1__adaptive_flat_operator__seed1,moead,adaptive_flat_operator,adaptive,zdt1,1,numpy,40,800,800,568.7656000009156,16,True,adaptive_flat_operator,simple_improvement,0.3545935955203074,0.3545935955203074,0.2744275000000734,42,0,4,0.8793663434903047,1.0,0.9843351800554017,760,True,22.01949973095907,0.9318000666098669,0.40779989649308845,13.144100106728729,6.179399802931584,1.3563998581958003,32.83240006567212,79.76289987709606,16.232799978752155,199.13140004791785,568.2643999971333,0.06447368421052632,0.9355263157894737,0.0,0.9921052631578947,0.007894736842105263,0.0,1.0,0.0,0.0,0.0,2.821460420553667,"[1.1, 3.8115023917328035]",0.5944753864056966,policy_states\moead__zdt1__adaptive_flat_operator__seed1.json
moead__zdt1__adaptive_flat_parameter__seed1,moead,adaptive_flat_parameter,adaptive,zdt1,1,numpy,40,800,800,553.8669000015943,18,True,adaptive_flat_parameter,simple_improvement,0.3261686777085609,0.3261686777085609,0.27687223680818296,0,211,0,1.0,0.4127631578947368,1.0,760,True,22.654900007182732,0.808199962193612,0.3765999717870727,13.785599963739514,6.1933001488796435,1.4911999605828896,37.50740003306419,67.10030001704581,14.538299954438116,195.98099998984253,552.9268999962369,1.0,0.0,0.0,1.0,0.0,0.575,0.06184210526315789,0.04342105263157895,0.2723684210526316,0.04736842105263158,2.9937852929402795,"[1.1, 3.8115023917328035]",0.36031418011662986,policy_states\moead__zdt1__adaptive_flat_parameter__seed1.json
moead__zdt1__adaptive_hierarchical_joint__seed1,moead,adaptive_hierarchical_joint,adaptive,zdt1,1,numpy,40,800,800,576.7992999972194,16,True,adaptive_hierarchical_joint,simple_improvement,0.3024928761235136,0.3024928761235136,0.28110236846834213,86,189,20,0.7676038781163435,0.33934210526315794,0.9169286703601109,760,True,29.27310012455564,0.8349000272573903,0.42900008702417836,19.858499996189494,6.8428000377025455,1.307899976382032,33.334300089336466,78.39500001864508,15.57969993154984,202.29740005743224,576.2806999991881,0.13421052631578947,0.8657894736842106,0.0,0.9565789473684211,0.04342105263157895,0.225,0.09868421052631579,0.08552631578947369,0.5157894736842106,0.075,2.6189449270170075,"[1.1, 3.8115023917328035]",0.549730502395233,policy_states\moead__zdt1__adaptive_hierarchical_joint__seed1.json
moead__zdt1__adaptive_hierarchical_joint_no_regime__seed1,moead,adaptive_hierarchical_joint_no_regime,adaptive,zdt1,1,numpy,40,800,800,645.2318000010564,14,True,adaptive_hierarchical_joint,simple_improvement,0.31627268807837844,0.31627268807837844,0.32127026308061385,78,157,0,0.7852112188365652,0.37068213296398894,1.0,760,True,31.976900041627232,0.9126000441028737,0.3803998915827833,21.493900138011668,7.731600046099629,1.458399921830278,37.12989995983662,88.24970002751797,16.67569999699481,225.02349995193072,644.5940999983577,0.12236842105263158,0.8776315789473684,0.0,1.0,0.0,0.5078947368421053,0.07368421052631578,0.039473684210526314,0.31973684210526315,0.05921052631578947,3.0480411625109864,"[1.1, 3.8115023917328035]",0.31168748388524437,policy_states\moead__zdt1__adaptive_hierarchical_joint_no_regime__seed1.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed1,moead,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,zdt1,1,numpy,40,800,800,647.553800001333,18,True,adaptive_hierarchical_joint,simple_improvement,0.3261686777085609,0.3261686777085609,0.3261102633252066,0,211,0,1.0,0.4127631578947368,1.0,760,True,26.127400153200142,0.9225000176229514,0.4777999856742099,16.391000055591576,6.877100051497109,1.4590000428142957,45.49499988934258,78.00709985167487,17.97690000239527,230.4115000879392,646.8125000028522,1.0,0.0,0.0,1.0,0.0,0.575,0.06184210526315789,0.04342105263157895,0.2723684210526316,0.04736842105263158,2.9937852929402795,"[1.1, 3.8115023917328035]",0.36031418011662986,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed1.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed1,moead,adaptive_hierarchical_joint_fixed_family_de,adaptive,zdt1,1,numpy,40,800,800,612.8548999986378,15,True,adaptive_hierarchical_joint,simple_improvement,0.31034737918491384,0.31034737918491384,0.3021128946975774,0,151,6,1.0,0.5287846260387812,0.9765962603878118,760,True,25.394900018000044,0.9043998288689181,0.4283001471776515,16.015600100217853,6.692299990390893,1.3542999513447285,34.419700044963975,83.62939993821783,16.13610002823407,217.756699945312,612.2514000016963,0.0,1.0,0.0,0.9881578947368421,0.011842105263157895,0.7065789473684211,0.039473684210526314,0.046052631578947366,0.15,0.05789473684210526,2.845360538744083,"[1.1, 3.8115023917328035]",0.44115240429535696,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed1.json
moead__zdt1__fixed_sbx__seed2,moead,fixed_sbx,fixed,zdt1,2,numpy,40,800,800,140.22879999538418,18,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8113851258143683,"[1.1, 3.8115023917328035]",0.5213105153908678,
moead__zdt1__fixed_de__seed2,moead,fixed_de,fixed,zdt1,2,numpy,40,800,800,140.7868000023882,23,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0299763081084468,"[1.1, 3.8115023917328035]",1.3182158399666748,
moead__zdt1__adaptive_flat_operator__seed2,moead,adaptive_flat_operator,adaptive,zdt1,2,numpy,40,800,800,632.6225000011618,16,True,adaptive_flat_operator,simple_improvement,0.3473210697201447,0.3473210697201447,0.3071923683340796,62,0,0,0.8435768698060941,1.0,1.0,760,True,23.18979970732471,1.0796999486046843,0.5536000171559863,14.059000044653658,6.1064000183250755,1.3910996785853058,36.74840005260194,87.7603000117233,17.136200061941054,220.49000002880348,632.2031000017887,0.08552631578947369,0.9144736842105263,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9023582132342445,"[1.1, 3.8115023917328035]",0.5069132739249761,policy_states\moead__zdt1__adaptive_flat_operator__seed2.json
moead__zdt1__adaptive_flat_parameter__seed2,moead,adaptive_flat_parameter,adaptive,zdt1,2,numpy,40,800,800,679.1157000043313,17,True,adaptive_flat_parameter,simple_improvement,0.3549915169344156,0.3549915169344156,0.33252815778963085,0,193,0,1.0,0.4710283933518005,1.0,760,True,25.45339996140683,0.9760999892023392,0.5334998786565848,15.77179994637845,6.628899936913513,1.5431002102559432,47.49240002274746,78.35540005908115,17.439199895306956,229.9690001163981,678.5935000007157,1.0,0.0,0.0,1.0,0.0,0.6513157894736842,0.05526315789473684,0.06578947368421052,0.19605263157894737,0.031578947368421054,3.1155210268728815,"[1.1, 3.8115023917328035]",0.3948932108306702,policy_states\moead__zdt1__adaptive_flat_parameter__seed2.json
moead__zdt1__adaptive_hierarchical_joint__seed2,moead,adaptive_hierarchical_joint,adaptive,zdt1,2,numpy,40,800,800,615.4871999970055,19,True,adaptive_hierarchical_joint,simple_improvement,0.29700907402905835,0.29700907402905835,0.302074078823161,58,226,0,0.8435768698060941,0.41233033240997236,1.0,760,True,31.194000264804345,0.9740001114550978,0.4312001110520214,21.193199936533347,7.21470003190916,1.3809000738547184,35.883099895727355,85.35209996625781,16.71079994412139,213.042899784341,614.9891000022762,0.08552631578947369,0.9144736842105263,0.0,1.0,0.0,0.5697368421052632,0.07105263157894737,0.05263157894736842,0.28157894736842104,0.025,3.1302542789617833,"[1.1, 3.8115023917328035]",0.4370734540027409,policy_states\moead__zdt1__adaptive_hierarchical_joint__seed2.json
moead__zdt1__adaptive_hierarchical_joint_no_regime__seed2,moead,adaptive_hierarchical_joint_no_regime,adaptive,zdt1,2,numpy,40,800,800,664.1243999983999,19,True,adaptive_hierarchical_joint,simple_improvement,0.29700907402905835,0.29700907402905835,0.3262739473843555,58,226,0,0.8435768698060941,0.41233033240997236,1.0,760,True,33.579800197912846,0.9981000330299139,0.38710016815457493,22.818499979621265,7.868999993661419,1.5071000234456733,39.14069995516911,90.23970002454007,18.18269999785116,231.42729986284394,663.5415999990073,0.08552631578947369,0.9144736842105263,0.0,1.0,0.0,0.5697368421052632,0.07105263157894737,0.05263157894736842,0.28157894736842104,0.025,3.1302542789617833,"[1.1, 3.8115023917328035]",0.4370734540027409,policy_states\moead__zdt1__adaptive_hierarchical_joint_no_regime__seed2.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed2,moead,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,zdt1,2,numpy,40,800,800,676.9560999964597,17,True,adaptive_hierarchical_joint,simple_improvement,0.3549915169344156,0.3549915169344156,0.3462722368376011,0,193,0,1.0,0.4710283933518005,1.0,760,True,27.03739993739873,0.9858000194071792,0.47040002391440794,17.100799923355225,7.008999993558973,1.471399977162946,47.795299848075956,82.54039983876282,18.18379992619157,239.02580006688368,676.4295999964816,1.0,0.0,0.0,1.0,0.0,0.6513157894736842,0.05526315789473684,0.06578947368421052,0.19605263157894737,0.031578947368421054,3.1155210268728815,"[1.1, 3.8115023917328035]",0.3948932108306702,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_sbx__seed2.json
moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed2,moead,adaptive_hierarchical_joint_fixed_family_de,adaptive,zdt1,2,numpy,40,800,800,580.5561000015587,17,True,adaptive_hierarchical_joint,simple_improvement,0.3281287833481791,0.3281287833481791,0.27805750006863444,0,198,2,1.0,0.3928012465373961,0.9921364265927979,760,True,23.670900009165052,0.869299954501912,0.4073999443789944,14.800799996010028,6.232400097360369,1.3610000169137493,32.76269999332726,82.10030020563863,16.185199914616533,205.97109988011653,580.0317999965046,0.0,1.0,0.0,0.9960526315789474,0.003947368421052632,0.5171052631578947,0.04473684210526316,0.056578947368421055,0.3447368421052632,0.03684210526315789,3.1487192271322417,"[1.1, 3.8115023917328035]",0.3912246464016846,policy_states\moead__zdt1__adaptive_hierarchical_joint_fixed_family_de__seed2.json
moead__zdt1__fixed_sbx__seed3,moead,fixed_sbx,fixed,zdt1,3,numpy,40,800,800,120.20090000441996,18,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9190888265232315,"[1.1, 3.8115023917328035]",0.5014930507608844,
moead__zdt1__fixed_de__seed3,moead,fixed_de,fixed,zdt1,3,numpy,40,800,800,127.9389000046649,28,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169948361670132,"[1.1, 3.8115023917328035]",0.9938493210290628,
moead__zdt1__adaptive_flat_operator__seed3,moead,adaptive_flat_operator,adaptive,zdt1,3,numpy,40,800,800,577.1325999958208,18,True,adaptive_flat_operator,simple_improvement,0.33031081562131687,0.33031081562131687,0.27899552621276696,44,0,0,0.8979259002770084,1.0,1.0,760,True,21.731799948611297,0.8980999991763383,0.4040999920107424,13.009399874135852,6.102600171288941,1.317599911999423,33.74500001518754,82.79250008490635,15.700299787567928,203.9266999490792,576.636799996777,0.05394736842105263,0.9460526315789474,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0609648937271805,"[1.1, 3.8115023917328035]",0.4831318987908196,policy_states\moead__zdt1__adaptive_flat_operator__seed3.json
moead__zdt1__adaptive_flat_parameter__seed3,moead,adaptive_flat_parameter,adaptive,zdt1,3,numpy,40,800,800,601.0307999968063,19,True,adaptive_flat_parameter,simple_improvement,0.32447024387951373,0.32447024387951373,0.3069869738809709,0,160,0,1.0,0.36389196675900276,1.0,760,True,23.82890043372754,0.9084001067094505,0.4191002662992105,14.981800013629254,6.165999970107805,1.3536000769818202,40.40370020811679,72.29399995412678,16.04560000851052,211.76129995728843,599.9948999960907,1.0,0.0,0.0,1.0,0.0,0.475,0.05394736842105263,0.05,0.3592105263157895,0.06184210526315789,2.7468596786393404,"[1.1, 3.8115023917328035]",0.5541159853491245,policy_states\moead__zdt1__adaptive_flat_parameter__seed3.json
moead__zdt1__adaptive_hierarchical_joint__seed3,moead,adaptive_hierarchical_joint,adaptive,zdt1,3,numpy,40,800,800,596.1443999985931,18,True,adaptive_hierarchical_joint,simple_improvement,0.30258287804384854,0.30258287804384854,0.29370078966741475,64,192,14,0.7992936288088643,0.39536357340720224,0.9437811634349031,760,True,30.29579970461782,0.8475000213366002,0.4174999558017589,20.508799898379948,7.15660003334051,1.3653997957590036,34.28969986271113,80.662599990319,16.21009987866273,209.1629000424291,595.1869999989867,0.11315789473684211,0.8868421052631579,0.0,0.9710526315789474,0.02894736842105263,0.5868421052631579,0.08157894736842106,0.08947368421052632,0.18026315789473685,0.06184210526315789,2.6992547442844836,"[1.1, 3.8115023917328035]",0.5975231244048492,policy_states\moead__zdt1__adaptive_hierarchical_joint__seed3.json
moead__zdt1__adaptive_hierarchical_joint_no_regime__seed3,moead,adaptive_hierarchical_joint_no_regime,adaptive,zdt1,3,numpy,40,800,800,609.3748999992386,15,True,adaptive_hierarchical_joint,simple_improvement,0.3125737330769451,0.3125737330769451,0.30539736850953075,56,155,0,0.8200000000000001,0.4214162049861497,1.0,760,True,29.881099850172177,0.8578000197303481,0.36789999285247177,20.31090003583813,6.955199867661577,1.3892999340896495,36.3669999060221,82.3653998595546,15.918299970508087,208.43079997575842,608.61450000084,0.1,0.9,0.0,1.0,0.0,0.6065789473684211,0.07631578947368421,0.05263157894736842,0.2026315789473684,0.06184210526315789,2.553722798744867,"[1.1, 3.8115023917328035]",0.5890699266777293,policy_states\moead__zdt1__adaptive_hierarchical_joint_no_regime__seed3.json
