config_id,config_label,phase,level,bias,imbalance,problem,lhs_algorithm,rhs_algorithm,lhs_label,rhs_label,metric,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
lvl6_imbalance,L6+I,B,6,False,True,zcat20,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,0.7257703584767821,0.7435621275117836,0.5183017018019271,0.5517550766568876,0.20746865667485492,0.19180705085489602,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
lvl6_imbalance,L6+I,B,6,False,True,zcat20,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,0.3799457967052852,0.27741364553530357,0.7515924943056158,0.5004332390491225,-0.3716466976003306,-0.22301959351381895,18,0,3,0.0001049041748046875,0.010175704956054688,True
lvl6_imbalance,L6+I,B,6,False,True,zcat20,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,0.5079937944959564,0.4809364461371811,0.5183017018019271,0.5517550766568876,-0.010307907305970754,-0.0708186305197065,9,0,12,0.5854024887084961,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat20,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,0.8736351804170301,1.0463265740899095,0.7515924943056158,0.5004332390491225,0.12204268611141433,0.545893335040787,10,0,11,0.47333431243896484,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat20,gces,nsgaii,gces,nsgaii,hypervolume,0.5015183825677547,0.49317854437383785,0.5183017018019271,0.5517550766568876,-0.016783319234172422,-0.058576532283049765,8,0,13,0.39258384704589844,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat20,gces,nsgaii,gces,nsgaii,igd_plus,0.9620062862259976,0.8242594082060315,0.7515924943056158,0.5004332390491225,0.2104137919203818,0.323826169156909,6,0,15,0.02901458740234375,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,hypervolume,0.05778897813347444,0.0,0.0724302153008878,0.0,-0.01464123716741337,0.0,5,13,3,0.6024824141870173,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_farthest,nsgaii,nsga2-farthest,nsgaii,igd_plus,4.788072457020451,6.008639562784348,4.976221722814668,6.036170280746105,-0.18814926579421698,-0.027530717961757212,14,0,7,0.39258384704589844,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,hypervolume,0.07048116728835647,0.0,0.0724302153008878,0.0,-0.001949048012531332,0.0,3,14,4,0.7701533183969194,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_hvref_farthest,nsgaii,nsga2-hvref-farthest,nsgaii,igd_plus,5.188650385661609,5.9033937526118745,4.976221722814668,6.036170280746105,0.21242866284694095,-0.13277652813423035,16,0,5,0.3376598358154297,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,hypervolume,0.07730611326433434,0.0,0.0724302153008878,0.0,0.004875897963446535,0.0,2,14,5,0.3584815812876603,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,nsga2_hvfarthest,nsgaii,nsga2-hvfarthest,nsgaii,igd_plus,5.539355917786849,5.858416486337625,4.976221722814668,6.036170280746105,0.5631341949721804,-0.1777537944084795,14,0,7,0.9728584289550781,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,gces_nogeo,nsgaii,gces-noGeo,nsgaii,hypervolume,0.11837848309414448,0.0,0.0724302153008878,0.0,0.04594826779325667,0.0,6,13,2,0.10045944472900055,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,gces_nogeo,nsgaii,gces-noGeo,nsgaii,igd_plus,4.69276780763199,6.076811851224365,4.976221722814668,6.036170280746105,-0.2834539151826787,0.040641570478260114,10,0,11,0.6578273773193359,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,gces,nsgaii,gces,nsgaii,hypervolume,0.07599937406507623,0.0,0.0724302153008878,0.0,0.0035691587641884237,0.0,4,15,2,0.4161953803222136,1.0,False
lvl6_imbalance,L6+I,B,6,False,True,zcat3,gces,nsgaii,gces,nsgaii,igd_plus,5.587431052464055,6.105263102396441,4.976221722814668,6.036170280746105,0.6112093296493866,0.06909282165033659,9,0,12,0.6578273773193359,1.0,False
