config_id,config_label,phase,level,bias,imbalance,algorithm,algorithm_label,problem_count,hv_median_of_medians,igd_plus_median_of_medians,runtime_seconds_median_of_medians,hv_delta_vs_nsgaii,igd_plus_delta_vs_nsgaii,igd_plus_improvement_vs_nsgaii,runtime_seconds_delta_vs_nsgaii,runtime_ratio_vs_nsgaii
lvl6_bias,L6+B,B,6,True,False,nsga2_hvref_farthest,nsga2-hvref-farthest,20,0.0,27.300120622013395,142.7928491000057,0.0,-0.09619981306143899,0.09619981306143899,136.07774885000254,21.264440408010064
lvl6_bias,L6+B,B,6,True,False,nsga2_hvfarthest,nsga2-hvfarthest,20,0.0,27.294850539815307,150.00640445000317,0.0,-0.10146989525952677,0.10146989525952677,143.2913042,22.338669396623313
lvl6_bias,L6+B,B,6,True,False,gces_nogeo,gces-noGeo,20,0.0,27.38127197572281,14.782835600010003,0.0,-0.015048459352023258,0.015048459352023258,8.067735350006842,2.2014318550200414
lvl6_bias,L6+B,B,6,True,False,gces,gces,20,0.0,27.40571926239859,19.109742150001694,0.0,0.009398827323757075,-0.009398827323757075,12.394641899998533,2.845786576305052
lvl6_imbalance,L6+I,B,6,False,True,nsgaii,nsgaii,20,0.0,5.3793583849006295,5.42841634999786,0.0,0.0,0.0,0.0,1.0
lvl6_imbalance,L6+I,B,6,False,True,nsga2_farthest,nsga2-farthest,20,0.0,5.296847746350144,8.624418500010506,0.0,-0.08251063855048546,0.08251063855048546,3.196002150012646,1.5887540571595813
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvref_farthest,nsga2-hvref-farthest,20,0.0,5.21802399299489,130.5161557500105,0.0,-0.16133439190573906,0.16133439190573906,125.08773940001265,24.04313658624618
lvl6_imbalance,L6+I,B,6,False,True,nsga2_hvfarthest,nsga2-hvfarthest,20,0.0,5.1917558678024776,137.58011350000743,0.0,-0.1876025170981519,0.1876025170981519,132.15169715000957,25.344429135407356
lvl6_imbalance,L6+I,B,6,False,True,gces_nogeo,gces-noGeo,20,0.0,5.373380637102521,13.251026249999995,0.0,-0.005977747798108446,0.005977747798108446,7.822609900002135,2.4410482534202114
lvl6_imbalance,L6+I,B,6,False,True,gces,gces,20,0.0,5.360744516306481,16.606445450001047,0.0,-0.01861386859414882,0.01861386859414882,11.178029100003187,3.0591694481959903
lvl6_bias_imbalance,L6+B+I,B,6,True,True,nsgaii,nsgaii,20,0.0,25.201568376178777,5.018960549990879,0.0,0.0,0.0,0.0,1.0
