suite,host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
anchor,nsgaii,zdt3,adaptive_hierarchical_joint,adaptive,10,2.3475374460229825,0.22350980528039283,54.140139995433856,0.203727059556316,0.3891947369801959,0.5401662049861496,0.7772853185595567,0.22160664819944595,9.4,14.0,1.6,1.2824399964301847,0.0385999956051819,0.02669999230420217,0.8039299937081523,0.31320001144194975,0.10001000337069854,1.4461600192589685,4.793050001899246,0.8668599999509752,15.397440009110142,53.94910000177333,0.36315789473684207,0.6368421052631579,0.0,0.8631578947368421,0.13684210526315788,0.3052631578947368,0.16842105263157894,0.21052631578947367,0.15789473684210525,0.15789473684210525,win,0.09349402743599455,1.6395450952450221
anchor,nsgaii,zdt3,adaptive_hierarchical_joint_no_regime,adaptive,10,2.2797039666782095,0.26369664261136017,56.04713000066113,0.20302793767882554,0.4086194733788847,0.5578947368421053,1.0,0.2293628808864266,12.2,14.0,0.0,1.2417500169249251,0.03818000404862687,0.01926002005347982,0.8068299954175018,0.30930999491829425,0.06817000248702243,1.613470001029782,4.937050004082266,0.9445600036997348,15.136149985482916,55.80824999778997,0.33157894736842103,0.6684210526315789,0.0,1.0,0.0,0.34736842105263155,0.16842105263157894,0.16842105263157894,0.15789473684210525,0.15789473684210525,win,0.025660548091221536,1.697295151118822
anchor,nsgaii,zdt3,fixed_sbx,fixed,10,2.254043418586988,0.263081102116648,33.02144000335829,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
anchor,nsgaii,zdt3,semantic_prototype_sbx,adaptive,10,2.1276613679233094,0.32184614583546994,47.17912000051001,0.23038491515537435,0.34818315792730764,1.0,0.889196675900277,0.2271468144044321,0.0,16.1,1.2,0.9103799777221866,0.03284999402239919,0.0262299960013479,0.5546999906073324,0.23504999844590202,0.06154999864520505,1.3615700052469037,5.633109992777463,0.817720009945333,12.749690003693104,46.984879998490214,1.0,0.0,0.0,0.9368421052631579,0.06315789473684211,0.3368421052631579,0.16842105263157894,0.1894736842105263,0.1526315789473684,0.1526315789473684,loss,-0.12638205066367858,1.4287420535177109
zcat,moead,zcat1,adaptive_hierarchical_joint,adaptive,10,16.396864245898804,0.7908407557158464,718.3182700027828,0.2896914736130022,0.3433584078141537,0.7871281163434902,0.9984335180055401,0.3398788088642659,58.8,229.3,0.4,34.567719961341936,0.9307999716838822,0.558519913465716,23.447790018690284,7.9541600091033615,1.6764500483986922,43.850609961373266,92.39421993988799,38.93373999162577,241.18128000118304,717.4652899979264,0.12289473684210525,0.8771052631578946,0.0,0.9992105263157894,0.0007894736842105263,0.4256578947368421,0.06999999999999999,0.08039473684210527,0.34421052631578947,0.07973684210526316,no_baseline,,
zcat,moead,zcat1,adaptive_hierarchical_joint_no_regime,adaptive,10,16.38561354011582,0.7848001233322456,730.5586000016774,0.2902120506895809,0.35256911857447304,0.7904768005540166,1.0,0.33769736842105263,58.2,228.4,0.0,34.8488999530673,0.9222100547049195,0.39700991328572854,23.735250004392583,8.074069989379495,1.7203599913045764,47.223710067919455,93.47425005253172,39.48093007784337,243.21768000372685,729.7309500034316,0.12039473684210526,0.8796052631578947,0.0,1.0,0.0,0.4302631578947368,0.07131578947368421,0.07973684210526316,0.33842105263157896,0.08026315789473684,no_baseline,,
zcat,moead,zcat1,fixed_sbx,fixed,10,14.869836327486292,0.8420552983825068,361.5354700013995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
zcat,moead,zcat1,semantic_prototype_sbx,adaptive,10,16.243049739618744,0.6989161204061214,732.3210099988501,0.34184713427314195,0.3571849211010359,1.0,0.9979168975069251,0.4441668975069252,0.0,165.1,0.4,28.900510036328342,0.9844700281973928,0.6079798971768469,18.289430052391253,7.279269935679622,1.7393601228832267,51.07469992217375,88.77976998337545,40.626850053376984,249.7210300207371,731.5755699994043,1.0,0.0,0.0,0.9989473684210527,0.0010526315789473684,0.48657894736842106,0.03657894736842105,0.04302631578947368,0.39381578947368423,0.04,no_baseline,,
zcat,moead,zcat14,adaptive_hierarchical_joint,adaptive,10,18.843884217476383,0.704634694388349,695.2525000015157,0.2878853005315561,0.33565300012636917,0.8295869113573409,0.9929601800554018,0.3458684210526316,51.3,219.4,2.0,35.30828998191282,0.8518799601006322,0.4903999884845689,22.687130054691806,9.650629991665483,1.6282499869703315,45.7741600839654,89.0830000556889,36.250659998040646,229.71908000326948,694.4739499987918,0.09513157894736843,0.9048684210526317,0.0,0.9964473684210526,0.0035526315789473684,0.4363157894736842,0.06907894736842105,0.07894736842105263,0.3563157894736842,0.0593421052631579,no_baseline,,
zcat,moead,zcat14,adaptive_hierarchical_joint_no_regime,adaptive,10,18.68601135406729,0.7366367888345354,673.0432099997415,0.2886896641591862,0.32481084215664613,0.8309958448753463,1.0,0.34026004155124656,50.2,223.8,0.0,32.11828007479198,0.8269899961305782,0.3558500044164248,21.91054006689228,7.489680028811563,1.5352199785411358,40.80478000250878,87.17785002227174,36.39712009608047,228.19738999241963,672.0332500015502,0.09421052631578948,0.9057894736842105,0.0,1.0,0.0,0.44026315789473686,0.06618421052631579,0.09921052631578947,0.3248684210526316,0.06947368421052631,no_baseline,,
zcat,moead,zcat14,fixed_sbx,fixed,10,17.26667750474683,0.7682184833893559,162.48178999958327,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
zcat,moead,zcat14,semantic_prototype_sbx,adaptive,10,18.178501624896555,0.7012888217300645,686.149680003291,0.3342990657805351,0.33815767097908783,1.0,1.0,0.43800969529085876,0.0,171.2,0.0,26.12611009826651,0.8650699572172016,0.5079099835711531,16.685440072615165,6.502540028304793,1.5651500565581955,52.49702002329286,80.78989015630214,36.85245991364354,234.32650998292957,685.3138099992066,1.0,0.0,0.0,1.0,0.0,0.5680263157894737,0.039999999999999994,0.05947368421052631,0.2971052631578947,0.035394736842105264,no_baseline,,
zcat,moead,zcat19,adaptive_hierarchical_joint,adaptive,10,11.912276630269359,0.8510529749177472,723.534529999597,0.2833601814715126,0.3395993947331015,0.821854916897507,0.9984279778393352,0.3466824792243767,51.9,218.9,0.6,34.42667990748305,0.9397999892826192,0.5237899415078573,23.290669903508388,8.04087004653411,1.6315500266500749,42.50890993716894,93.76041994837578,41.231619982863776,241.69781988166505,722.7357899988419,0.1006578947368421,0.8993421052631578,0.0,0.9992105263157894,0.0007894736842105263,0.40763157894736846,0.07710526315789473,0.09105263157894736,0.3626315789473684,0.06157894736842105,no_baseline,,
zcat,moead,zcat19,adaptive_hierarchical_joint_no_regime,adaptive,10,12.155251349508717,0.8278927300383122,702.941970001848,0.28298840668874037,0.3304808815530697,0.8255391274238228,1.0,0.3402254155124654,52.1,220.5,0.0,33.92340993741527,0.8635899677756242,0.3750199291971512,23.269330032053404,7.828119989426341,1.587350018962752,40.486879921809305,91.85949001839617,40.21640997380018,236.45736001926707,701.7421199983801,0.09802631578947368,0.9019736842105264,0.0,1.0,0.0,0.41697368421052633,0.07947368421052632,0.09486842105263157,0.34657894736842104,0.06210526315789474,no_baseline,,
zcat,moead,zcat19,fixed_sbx,fixed,10,11.84184245529369,0.7783725192946153,164.3578199975309,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_baseline,,
zcat,moead,zcat19,semantic_prototype_sbx,adaptive,10,13.282372654325645,0.6490783301409024,689.5739800034789,0.350187408526238,0.3361244605625152,1.0,1.0,0.4597451523545706,0.0,150.2,0.0,26.15550002665259,0.8611599681898952,0.5038100032834336,16.58123997913208,6.639339994580951,1.5699500814662315,53.10279006953351,80.84252992848633,39.13454004650703,231.62866990169277,688.817299999937,1.0,0.0,0.0,1.0,0.0,0.5314473684210526,0.02986842105263158,0.05552631578947369,0.3427631578947369,0.04039473684210527,no_baseline,,
zcat,moead,zcat6,adaptive_hierarchical_joint,adaptive,10,24.308980428132234,0.6663297909817372,717.0103999975254,0.28776667752700597,0.3432769473645174,0.773845567867036,0.9953441828254848,0.4014684903047091,61.2,212.2,1.2,35.13937995012384,0.8985799955553375,0.525000000197906,24.098750000121072,7.959769923763815,1.6572800304857083,43.735650039161555,93.45816001732601,39.254539969260804,242.73496998939663,716.1657000004197,0.13105263157894737,0.8689473684210526,0.0,0.9976315789473684,0.0023684210526315787,0.42315789473684207,0.06197368421052631,0.08828947368421053,0.35776315789473684,0.0688157894736842,no_baseline,,
