run_id,host,variant,variant_group,problem,suite,problem_n_var,problem_n_obj,seed,engine,population_size,max_evaluations,evaluations,time_ms,n_solutions,online_control_enabled,policy,credit_model,average_reward,average_bounded_reward,average_overhead_ms,family_switches,intent_switches,regime_switches,family_concentration,intent_concentration,regime_concentration,trace_steps,policy_state_available,profile_controller_time_ms,profile_start_step_time_ms,profile_router_time_ms,profile_policy_select_time_ms,profile_policy_update_time_ms,profile_trace_time_ms,profile_decode_time_ms,profile_variation_time_ms,profile_evaluation_time_ms,profile_survival_time_ms,profile_total_runtime_ms,family_share_sbx_like,family_share_de_like,regime_share_repair,regime_share_expand,regime_share_refine,intent_share_exploratory,intent_share_balanced,intent_share_local_refine,intent_share_mutation_heavy,intent_share_feasibility_biased,hv,hv_ref_point,igd_plus,policy_state_file
nsgaii__zcat1__fixed_sbx__seed5,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,5,numpy,40,800,800,59.699100005673245,26,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77856251128655,"[2.6005594341522866, 11.639253732643283]",0.360738508829463,
nsgaii__zcat1__semantic_prototype_sbx__seed5,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,5,numpy,40,800,800,64.17760001204442,36,True,adaptive_flat_parameter,simple_improvement,0.23558135800514535,0.23558135800514535,0.3350105253048241,0,18,0,1.0,0.21883656509695287,1.0,19,True,0.9966001525754109,0.037300007534213364,0.024000066332519054,0.6167000683490187,0.2496999950380996,0.0689000153215602,1.2946000060765073,5.876600043848157,18.057300010696054,11.584799969568849,64.01679999544285,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.752575779678782,"[2.6005594341522866, 11.639253732643283]",0.390011481429162,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed5.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed5,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,5,numpy,40,800,800,57.943299994803965,14,True,adaptive_hierarchical_joint,simple_improvement,0.21538614185721516,0.21538614185721516,0.29955789259953525,7,16,2,0.5346260387811634,0.21329639889196672,0.7340720221606647,19,True,0.9791999036679044,0.027399975806474686,0.01749992952682078,0.6431000074371696,0.23960000544320792,0.0515999854542315,1.2525000056484714,4.075699980603531,18.25199997983873,9.65549997636117,57.77790000138339,0.3684210526315789,0.631578947368421,0.0,0.8421052631578947,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.15789473684210525,25.256135108616455,"[2.6005594341522866, 11.639253732643283]",0.33248807486513315,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed5.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed5,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,5,numpy,40,800,800,62.37970000074711,22,True,adaptive_hierarchical_joint,simple_improvement,0.2055060040810509,0.2055060040810509,0.3155052606751652,9,16,0,0.5678670360110804,0.21883656509695287,1.0,19,True,1.132499979576096,0.03599999763537198,0.03159999323543161,0.6878000276628882,0.3071000101044774,0.06999995093792677,1.3307999615790322,4.437099996721372,19.5044999854872,10.865399948670529,62.17309999919962,0.3157894736842105,0.6842105263157895,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,24.25610361647967,"[2.6005594341522866, 11.639253732643283]",0.5015855919712374,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed5.json
nsgaii__zcat1__fixed_sbx__seed6,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,6,numpy,40,800,800,51.13629999686964,31,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.905234318665336,"[2.6005594341522866, 11.639253732643283]",0.3683574279070253,
nsgaii__zcat1__semantic_prototype_sbx__seed6,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,6,numpy,40,800,800,65.2364999987185,26,True,adaptive_flat_parameter,simple_improvement,0.24238330718013265,0.24238330718013265,0.3545526307884996,0,18,0,1.0,0.21883656509695287,1.0,19,True,1.0132999741472304,0.0357000099029392,0.023900007363408804,0.5785999965155497,0.2998999843839556,0.07519997598137707,1.3306000037118793,5.841799997142516,20.740699968882836,10.553199987043627,65.0513000000501,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.15789473684210525,24.867581396807555,"[2.6005594341522866, 11.639253732643283]",0.329030359394622,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed6.json
nsgaii__zcat1__adaptive_hierarchical_joint__seed6,nsgaii,adaptive_hierarchical_joint,adaptive,zcat1,zcat,30,2,6,numpy,40,800,800,59.70899999374524,27,True,adaptive_hierarchical_joint,simple_improvement,0.19590817232807842,0.19590817232807842,0.31254210319419046,9,15,2,0.5346260387811634,0.21883656509695287,0.8116343490304709,19,True,1.1394999746698886,0.03379998088348657,0.024299981305375695,0.7457999890903011,0.26980000257026404,0.06580002082046121,1.3322000013431534,4.505100019741803,18.876699978136458,10.429300004034303,59.54990000464022,0.3684210526315789,0.631578947368421,0.0,0.8947368421052632,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,22.78885008418811,"[2.6005594341522866, 11.639253732643283]",0.6532825700131889,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint__seed6.json
nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed6,nsgaii,adaptive_hierarchical_joint_no_regime,adaptive,zcat1,zcat,30,2,6,numpy,40,800,800,64.01630000618752,31,True,adaptive_hierarchical_joint,simple_improvement,0.19712349724164713,0.19712349724164713,0.3520105276134257,14,16,0,0.5346260387811634,0.21883656509695287,1.0,19,True,1.1652999237412587,0.03460000152699649,0.019999919459223747,0.7137999928090721,0.3193000011378899,0.07760000880807638,1.2720999657176435,4.7649999760324135,18.947500007925555,10.752299989690073,63.72859999828506,0.3684210526315789,0.631578947368421,0.0,1.0,0.0,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.15789473684210525,23.47507243264354,"[2.6005594341522866, 11.639253732643283]",0.653178991095698,policy_states\nsgaii__zcat1__adaptive_hierarchical_joint_no_regime__seed6.json
nsgaii__zcat1__fixed_sbx__seed7,nsgaii,fixed_sbx,fixed,zcat1,zcat,30,2,7,numpy,40,800,800,43.02779999852646,27,False,,,,,,0,0,0,1.0,,,0,False,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.853818645556554,"[2.6005594341522866, 11.639253732643283]",0.2634112997646352,
nsgaii__zcat1__semantic_prototype_sbx__seed7,nsgaii,semantic_prototype_sbx,adaptive,zcat1,zcat,30,2,7,numpy,40,800,800,80.6356999964919,24,True,adaptive_flat_parameter,simple_improvement,0.2426102103668229,0.2426102103668229,0.5235631565722686,0,18,0,1.0,0.21883656509695287,1.0,19,True,1.1642999743344262,0.03919997834600508,0.08110002090688795,0.6898999854456633,0.2791999722830951,0.07490001735277474,1.4001000236021355,6.761700002243742,20.059099973877892,17.368800021358766,80.4781000042567,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.15789473684210525,23.819407205048588,"[2.6005594341522866, 11.639253732643283]",0.4837145260636607,policy_states\nsgaii__zcat1__semantic_prototype_sbx__seed7.json
