host,problem,variant,variant_group,n_runs,mean_hv,mean_igd_plus,mean_time_ms,mean_average_reward,mean_average_overhead_ms,mean_family_concentration,mean_regime_concentration,mean_intent_concentration,mean_family_switches,mean_intent_switches,mean_regime_switches,mean_profile_controller_time_ms,mean_profile_start_step_time_ms,mean_profile_router_time_ms,mean_profile_policy_select_time_ms,mean_profile_policy_update_time_ms,mean_profile_trace_time_ms,mean_profile_decode_time_ms,mean_profile_variation_time_ms,mean_profile_evaluation_time_ms,mean_profile_survival_time_ms,mean_profile_total_runtime_ms,mean_family_share_sbx_like,mean_family_share_de_like,mean_regime_share_repair,mean_regime_share_expand,mean_regime_share_refine,mean_intent_share_exploratory,mean_intent_share_balanced,mean_intent_share_local_refine,mean_intent_share_mutation_heavy,mean_intent_share_feasibility_biased,comparison_to_baseline,hv_delta_vs_baseline,runtime_ratio_vs_baseline
moead,zcat14,adaptive_hierarchical_joint,adaptive,5,25.6703857210604,0.6947064629983408,639.98680000077,0.2996091024405799,0.3010370000246391,0.8138150969529085,0.9953192520775623,0.3550387811634349,49.6,197.0,1.6,30.69925989402691,1.6617600515019149,0.657419947674498,19.90431997255655,7.073099959234241,1.4026599630597048,36.46999998309184,81.56552004656987,33.835779993387405,214.23551993939327,639.311999999336,0.10552631578947369,0.8944736842105263,0.0,0.9976315789473684,0.002368421052631579,0.4128947368421053,0.05921052631578947,0.08026315789473684,0.3863157894736842,0.06131578947368421,win,3.5521084422094376,3.9730418583255895
moead,zcat14,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,25.396800114063744,0.8974073145578455,635.0544200002332,0.2910811682242819,0.30177797365085046,1.0,0.9989501385041551,0.37125138504155125,0.0,181.6,0.4,25.06902004533913,0.8196800365112722,0.6904200141434558,15.683299992815591,6.497720004699659,1.377899997169152,35.59795998589834,84.20940003852593,34.17450001870748,219.29073997889645,634.3675199983409,0.0,1.0,0.0,0.9994736842105263,0.0005263157894736842,0.3389473684210526,0.07710526315789475,0.12710526315789475,0.40815789473684216,0.04868421052631579,win,3.278522835212783,3.942421613965429
moead,zcat14,adaptive_hierarchical_joint_fixed_family_sbx,adaptive,5,26.45413651786962,0.6904120255203041,621.2228999982472,0.33023819609651034,0.3119316579747982,1.0,1.0,0.4084168975069252,0.0,178.4,0.0,24.125020021165255,0.8253199921455234,0.6523199932416901,14.922779996413738,6.26394003193127,1.4606600074330345,51.60536003386369,73.2612999912817,33.26440000964794,209.45980001124553,620.4519799997797,1.0,0.0,0.0,1.0,0.0,0.5294736842105263,0.04526315789473684,0.06368421052631579,0.32473684210526316,0.03684210526315789,win,4.33585923901866,3.8565554555820185
moead,zcat14,adaptive_hierarchical_joint_no_regime,adaptive,5,25.82870163097338,0.7254282538380962,637.4469400005182,0.29762548822385143,0.30716855262366344,0.8163663434903048,1.0,0.34176454293628805,48.8,207.2,0.0,30.399100098293275,0.7872199828852899,0.31110001873457804,20.67294003209099,7.201339986931998,1.4265000776504166,37.16555999126285,82.71105990861543,34.48911998711992,217.25130000704667,636.8397199985338,0.10394736842105264,0.8960526315789474,0.0,1.0,0.0,0.3986842105263158,0.06342105263157895,0.09289473684210527,0.37973684210526315,0.06526315789473684,win,3.71042435212242,3.9572743923477365
moead,zcat14,fixed_de,fixed,5,22.11827727885096,1.2045934605982846,161.08232000115095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline,0.0,1.0
moead,zcat14,fixed_sbx,fixed,5,25.458914616897452,0.762154821778555,153.08873999747448,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win,3.3406373380464913,0.9503758078253445
moead,zcat19,adaptive_flat_operator,adaptive,5,31.610320848966058,0.9171600353962456,635.8318400001735,0.3215538249182476,0.31252755266905297,0.8524619113573408,1.0,1.0,48.4,0.0,0.0,22.954799966828432,0.8066399954259396,0.6624800633289851,14.034939976409078,5.999619937210809,1.4511199944536202,48.96603999368381,81.53613993345061,36.31404001644114,213.26157992880326,635.2347000007285,0.0818421052631579,0.9181578947368422,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,win,2.669336305541748,3.965569256446019
moead,zcat19,adaptive_flat_parameter,adaptive,5,33.308577911748486,0.7013902832685623,621.3926600001287,0.35400951573713196,0.3025328683610209,1.0,1.0,0.4438677285318559,0.0,144.4,0.0,23.535639885812998,0.8071999327512458,0.6712199319736101,14.689360004558694,5.972340004518628,1.3955200120108202,40.89998004492372,72.98602000664687,35.597860015695915,213.66460001154337,620.7444999992731,1.0,0.0,0.0,1.0,0.0,0.5136842105263157,0.029210526315789475,0.06552631578947368,0.3473684210526316,0.04421052631578948,win,4.367593368324176,3.8755146780272147
moead,zcat19,adaptive_hierarchical_joint,adaptive,5,32.30961058255407,0.8580643789196868,608.2018200017046,0.289783206470759,0.2897497106172714,0.8267139889196675,0.9979058171745152,0.34643282548476456,45.0,203.6,0.8,29.135499987751245,0.7990399579284713,0.6493000139016658,19.487280018802267,6.835419994604308,1.3644600025145337,34.11707995692268,81.72357995354105,34.57020000932971,205.62023998063523,607.500880000589,0.09815789473684211,0.9018421052631579,0.0,0.9989473684210527,0.0010526315789473684,0.4355263157894737,0.06,0.08105263157894736,0.3568421052631579,0.06657894736842104,win,3.3686260391297616,3.7932457725184334
moead,zcat19,adaptive_hierarchical_joint_fixed_family_de,adaptive,5,33.01345574950001,0.8255873575147554,673.1332800016389,0.2930929648770745,0.3311092894038762,1.0,0.9906509695290857,0.356935595567867,0.0,183.6,2.4,25.912540036370046,0.8212799933971837,0.6802600430091843,16.32498005637899,6.598019931698218,1.48800001188647,53.758040015236475,87.10999998438638,38.143399968976155,225.61259990470717,672.5158599991119,0.0,1.0,0.0,0.9952631578947368,0.004736842105263158,0.2855263157894737,0.09078947368421052,0.11421052631578947,0.4636842105263158,0.04578947368421053,win,4.072471206075701,4.198211653987697
