problem,algorithm,seed,engine,pop_size,max_evaluations,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat4,gces,8,numpy,80,8000,1.0233479000162333,80,0.9661557047430912,0.014634642621696791
zcat4,gces,9,numpy,80,8000,0.9868237000191584,80,0.9675461375142674,0.013909744215655793
zcat8,nsgaii,0,numpy,80,8000,0.4410066000127699,80,0.937489042913906,0.012387378719212406
zcat8,nsgaii,1,numpy,80,8000,0.4659700999909546,80,0.9382368746080011,0.012279190227265369
zcat8,nsgaii,2,numpy,80,8000,0.44246180000482127,80,0.9400442411473102,0.012323883077346503
zcat8,nsgaii,3,numpy,80,8000,0.4918321000004653,80,0.9201998553880839,0.016300507218839133
zcat8,nsgaii,4,numpy,80,8000,0.4445737000205554,80,0.9472776715667968,0.010371504961687083
zcat8,nsgaii,5,numpy,80,8000,0.4512346000119578,80,0.9372242325568751,0.01260447288984197
zcat8,nsgaii,6,numpy,80,8000,0.5007663000142202,80,0.9323558433891331,0.013589630867410376
zcat8,nsgaii,7,numpy,80,8000,0.6262473000097089,80,0.936034452406989,0.012627801117326148
zcat8,nsgaii,8,numpy,80,8000,0.6375383999838959,80,0.9351994324076639,0.012898631328384052
zcat8,nsgaii,9,numpy,80,8000,0.5888335000199731,80,0.9429308067301367,0.011355395537908267
zcat8,gces,0,numpy,80,8000,1.2253489999857266,80,0.9446888457493133,0.011896894860312689
zcat8,gces,1,numpy,80,8000,1.115136899985373,80,0.9355713506350951,0.013575825681764053
zcat8,gces,2,numpy,80,8000,1.2248118999996223,80,0.9538986541799858,0.009606865764903822
zcat8,gces,3,numpy,80,8000,0.9892514999955893,80,0.9532888635930686,0.009329835459756602
zcat8,gces,4,numpy,80,8000,1.0087548000155948,80,0.9449864730777641,0.011389731984880497
zcat8,gces,5,numpy,80,8000,0.9715948000084609,80,0.9495612080841365,0.010614419399701893
zcat8,gces,6,numpy,80,8000,1.001918599999044,80,0.9365586531492125,0.012990016684692554
zcat8,gces,7,numpy,80,8000,1.1012610000034329,80,0.9539189726637226,0.009430444588639737
zcat8,gces,8,numpy,80,8000,0.9506969999929424,80,0.9418287878161619,0.011247219120842497
zcat8,gces,9,numpy,80,8000,0.9780317000113428,80,0.9410748951359444,0.019366088938513236
zcat14,nsgaii,0,numpy,80,8000,0.45760650001466274,80,0.95426010066929,0.013972748707304992
zcat14,nsgaii,1,numpy,80,8000,0.4359429999894928,80,0.9587375626822364,0.012446817104909382
zcat14,nsgaii,2,numpy,80,8000,0.4428094000031706,80,0.9536771514818082,0.014033073817797006
zcat14,nsgaii,3,numpy,80,8000,0.44396170001709834,80,0.9461859333237674,0.016447655750804865
zcat14,nsgaii,4,numpy,80,8000,0.476410000002943,80,0.9532885630033903,0.014020874035903066
zcat14,nsgaii,5,numpy,80,8000,0.4757709999976214,80,0.9547269527008192,0.013579017462087537
zcat14,nsgaii,6,numpy,80,8000,0.4327202000131365,80,0.9560908560538713,0.013248246221152662
zcat14,nsgaii,7,numpy,80,8000,0.4645369999925606,80,0.9519532612013496,0.014615712574549175
zcat14,nsgaii,8,numpy,80,8000,0.44896340000559576,80,0.9560314238115345,0.013267417467458397
zcat14,nsgaii,9,numpy,80,8000,0.4216096999880392,80,0.9433433821963692,0.017149183625991146
zcat14,gces,0,numpy,80,8000,1.0264752999937627,80,0.9535306612728781,0.01460084781255699
zcat14,gces,1,numpy,80,8000,1.0627072000061162,80,0.9545503602269374,0.014365603516847233
zcat14,gces,2,numpy,80,8000,1.0315861999988556,80,0.9604940588987121,0.012532001883118435
zcat14,gces,3,numpy,80,8000,1.0082279999915045,80,0.955720178664147,0.013300313642956982
zcat14,gces,4,numpy,80,8000,1.045250399998622,80,0.9591135104176591,0.01222112679830173
zcat14,gces,5,numpy,80,8000,1.0078119999961928,80,0.9587773593878859,0.013180535742048622
zcat14,gces,6,numpy,80,8000,1.0134252999851014,80,0.9629488814434469,0.011119447705533915
zcat14,gces,7,numpy,80,8000,1.0178653000039048,80,0.9623964617244747,0.011446346426276635
zcat14,gces,8,numpy,80,8000,1.0041423999937251,80,0.9629469681810465,0.011615082508742986
zcat14,gces,9,numpy,80,8000,0.99253609997686,80,0.9449146755376756,0.018575109917205058
zcat15,nsgaii,0,numpy,80,8000,0.47155640000710264,80,0.9264140054814551,0.20334745044029362
zcat15,nsgaii,1,numpy,80,8000,0.4481650000088848,80,0.9778846647279097,0.009733436527519837
zcat15,nsgaii,2,numpy,80,8000,0.45252680001431145,80,0.9748810534501937,0.011022980056614123
zcat15,nsgaii,3,numpy,80,8000,0.44722890001139604,80,0.9782846471013041,0.009906823761670923
zcat15,nsgaii,4,numpy,80,8000,0.4863238999969326,80,0.9749832466575147,0.011290033780477599
zcat15,nsgaii,5,numpy,80,8000,0.4609649000049103,80,0.9749538190622024,0.011337169621147464
zcat15,nsgaii,6,numpy,80,8000,0.4460409000166692,80,0.9788435808410457,0.009483094201998459
zcat15,nsgaii,7,numpy,80,8000,0.4661115000199061,80,0.9665827332553636,0.015102796380269401
zcat15,nsgaii,8,numpy,80,8000,0.44336929998826236,80,0.9766265163354888,0.010859568199471478
zcat15,nsgaii,9,numpy,80,8000,0.4450465999834705,80,0.9787376282440811,0.009278391365666378
zcat15,gces,0,numpy,80,8000,0.977186400006758,80,0.9706164614784983,0.012877209912290771
zcat15,gces,1,numpy,80,8000,0.946643800009042,80,0.976979338250167,0.010086747385806824
zcat15,gces,2,numpy,80,8000,1.058245899999747,80,0.9811595560370048,0.008382876643659916
zcat15,gces,3,numpy,80,8000,0.9660907999787014,80,0.9752340750780066,0.010641226146590924
zcat15,gces,4,numpy,80,8000,0.9138142999727279,80,0.9723129866842245,0.011455210795225877
zcat15,gces,5,numpy,80,8000,0.9937219000130426,80,0.9770885066774044,0.009430826100483507
zcat15,gces,6,numpy,80,8000,0.9732811999856494,80,0.9754095409125579,0.010430281868930587
zcat15,gces,7,numpy,80,8000,0.9668848000001162,80,0.9756393977419529,0.01078010950877034
zcat15,gces,8,numpy,80,8000,0.967955100000836,80,0.9694877742696058,0.013370942309590603
zcat15,gces,9,numpy,80,8000,0.9772655999986455,80,0.9762486029260664,0.01023425676355461
zcat16,nsgaii,0,numpy,80,8000,0.44851019998895936,80,0.9673666604156681,0.011362610154925682
zcat16,nsgaii,1,numpy,80,8000,0.4599754000082612,80,0.9708681176287387,0.010175596074857391
zcat16,nsgaii,2,numpy,80,8000,0.4413970000168774,80,0.9703426016023285,0.010195971770773166
zcat16,nsgaii,3,numpy,80,8000,0.47411309997551143,80,0.9682350592658678,0.011220172838228147
zcat16,nsgaii,4,numpy,80,8000,0.4257561000122223,80,0.9693130058970927,0.010777660288732714
zcat16,nsgaii,5,numpy,80,8000,0.4762461000063922,80,0.9725714627179108,0.009623547607689202
zcat16,nsgaii,6,numpy,80,8000,0.4732757000019774,80,0.9745338605111267,0.00896970060960552
zcat16,nsgaii,7,numpy,80,8000,0.45150669998838566,80,0.9730289660042968,0.054583897096113686
zcat16,nsgaii,8,numpy,80,8000,0.47510239999974146,80,0.9732783495225723,0.00950080839215147
zcat16,nsgaii,9,numpy,80,8000,0.42944510001689196,80,0.9724682166433478,0.009655110465502301
