problem,metric,higher_is_better,lhs_algorithm,lhs_label,rhs_algorithm,rhs_label,n_common_seeds,lhs_mean,lhs_median,rhs_mean,rhs_median,delta_mean,delta_median,lhs_seed_wins,seed_ties,rhs_seed_wins,lhs_both_metric_seed_wins,both_metric_seed_ties_or_mixed,rhs_both_metric_seed_wins,wilcoxon_p_value_raw,wilcoxon_p_value_holm,wilcoxon_significant_alpha
zcat17,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9952828607094887,0.9952980817919534,0.9952710991809037,0.9953012873086947,1.1761528584952607e-05,-3.2055167412670116e-06,10,0,11,8,7,6,0.8116779327392578,1.0,False
zcat17,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.003967331722947202,0.0038802140212831305,0.004008486137027658,0.004004027564988055,-4.115441408045553e-05,-0.00012381354370492436,13,0,8,8,7,6,0.37372493743896484,1.0,False
zcat18,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9837783085544908,0.9909748381459887,0.9821575572535879,0.9890178321352501,0.0016207513009028895,0.001957006010738671,20,0,1,18,2,1,0.00019741058349609375,0.008093833923339844,True
zcat18,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.035463078694731594,0.004067568956605343,0.0356363225328371,0.004708122010876678,-0.00017324383810550514,-0.0006405530542713351,18,0,3,18,2,1,0.0021514892578125,0.0860595703125,False
zcat18,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.980577533334841,0.9915823396158575,0.9821575572535879,0.9890178321352501,-0.0015800239187468978,0.0025645074806074364,19,0,2,19,0,2,0.004284858703613281,0.12426090240478516,False
zcat18,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.050830622165940635,0.003743788106524763,0.0356363225328371,0.004708122010876678,0.015194299633103536,-0.0009643339043519153,19,0,2,19,0,2,0.008009910583496094,0.2402973175048828,False
zcat18,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9841392113779784,0.9913719686520974,0.9821575572535879,0.9890178321352501,0.0019816541243905528,0.0023541365168473494,20,0,1,20,0,1,1.9073486328125e-06,0.0001201629638671875,True
zcat18,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.034970349359696895,0.003916529544158909,0.0356363225328371,0.004708122010876678,-0.0006659731731402038,-0.0007915924667177693,20,0,1,20,0,1,0.00042629241943359375,0.02259349822998047,True
zcat18,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9837783085544908,0.9909748381459887,0.980577533334841,0.9915823396158575,0.0032007752196497874,-0.0006075014698687653,6,0,15,3,3,15,0.03191947937011719,0.7660675048828125,False
zcat18,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.035463078694731594,0.004067568956605343,0.050830622165940635,0.003743788106524763,-0.015367543471209041,0.0003237808500805802,3,0,18,3,3,15,0.0032787322998046875,0.12131309509277344,False
zcat18,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9837783085544908,0.9909748381459887,0.9841392113779784,0.9913719686520974,-0.0003609028234876632,-0.0003971305061086783,7,0,14,7,1,13,0.05019187927246094,1.0,False
zcat18,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.035463078694731594,0.004067568956605343,0.034970349359696895,0.003916529544158909,0.0004927293350346987,0.00015103941244643416,8,0,13,7,1,13,0.11934185028076172,1.0,False
zcat19,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9861950750882348,0.9861113454554978,0.9845415150396307,0.9846354489350722,0.0016535600486040636,0.001475896520425679,20,0,1,19,1,1,1.9073486328125e-06,0.0001201629638671875,True
zcat19,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.005997412622712383,0.006026996332621546,0.0066019466251221745,0.0064912579694613335,-0.0006045340024097914,-0.00046426163683978717,19,0,2,19,1,1,8.392333984375e-05,0.00495147705078125,True
zcat19,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9885063863420112,0.9886616901412156,0.9845415150396307,0.9846354489350722,0.003964871302380435,0.004026241206143477,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat19,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.00493683291049552,0.004907967537774353,0.0066019466251221745,0.0064912579694613335,-0.001665113714626655,-0.0015832904316869807,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat19,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9860880139579655,0.9860679425532873,0.9845415150396307,0.9846354489350722,0.0015464989183348044,0.0014324936182151804,19,0,2,19,0,2,6.67572021484375e-06,0.00032711029052734375,True
zcat19,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.006007896735628471,0.006048590558308897,0.0066019466251221745,0.0064912579694613335,-0.0005940498894937037,-0.00044266741115243664,19,0,2,19,0,2,2.384185791015625e-05,0.0015020370483398438,True
zcat19,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9861950750882348,0.9861113454554978,0.9885063863420112,0.9886616901412156,-0.0023113112537763714,-0.002550344685717798,1,0,20,1,0,20,1.9073486328125e-06,0.0001201629638671875,True
zcat19,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.005997412622712383,0.006026996332621546,0.00493683291049552,0.004907967537774353,0.0010605797122168635,0.0011190287948471935,1,0,20,1,0,20,1.9073486328125e-06,0.000133514404296875,True
zcat19,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9861950750882348,0.9861113454554978,0.9860880139579655,0.9860679425532873,0.00010706113026925923,4.3402902210498695e-05,12,0,9,10,2,9,0.785365104675293,1.0,False
zcat19,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.005997412622712383,0.006026996332621546,0.006007896735628471,0.006048590558308897,-1.0484112916087779e-05,-2.1594225687350532e-05,10,0,11,10,2,9,0.9186935424804688,1.0,False
zcat2,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9923641855337306,0.9924252560310354,0.9912232209590517,0.9913730538135391,0.0011409645746789376,0.0010522022174962453,20,0,1,20,0,1,2.86102294921875e-06,0.00014591217041015625,True
zcat2,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.005524338161099071,0.005492091401498411,0.006271602215185116,0.006222338329700299,-0.0007472640540860448,-0.0007302469282018881,20,0,1,20,0,1,6.67572021484375e-06,0.00043392181396484375,True
zcat2,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9931136227815212,0.9931669557595421,0.9912232209590517,0.9913730538135391,0.0018904018224694674,0.0017939019460029293,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat2,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.004982566017136005,0.00498077218300458,0.006271602215185116,0.006222338329700299,-0.0012890361980491104,-0.0012415661466957193,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat2,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9922051194918606,0.9921470605274273,0.9912232209590517,0.9913730538135391,0.0009818985328089447,0.0007740067138881646,20,0,1,19,1,1,1.9073486328125e-06,0.0001201629638671875,True
zcat2,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.005645539934661902,0.005553326062092265,0.006271602215185116,0.006222338329700299,-0.0006260622805232133,-0.0006690122676080339,19,0,2,19,1,1,2.384185791015625e-05,0.0015020370483398438,True
zcat2,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9923641855337306,0.9924252560310354,0.9931136227815212,0.9931669557595421,-0.0007494372477905298,-0.000741699728506684,1,0,20,0,1,20,1.9073486328125e-06,0.0001201629638671875,True
zcat2,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.005524338161099071,0.005492091401498411,0.004982566017136005,0.00498077218300458,0.0005417721439630657,0.0005113192184938312,0,0,21,0,1,20,9.5367431640625e-07,9.5367431640625e-05,True
zcat2,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9923641855337306,0.9924252560310354,0.9922051194918606,0.9921470605274273,0.00015906604186999296,0.00027819550360808076,12,0,9,12,3,6,0.14696407318115234,1.0,False
zcat2,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.005524338161099071,0.005492091401498411,0.005645539934661902,0.005553326062092265,-0.00012120177356283145,-6.123466059385421e-05,15,0,6,12,3,6,0.1906871795654297,1.0,False
zcat20,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9837740222922404,0.9909736522703305,0.982153267886927,0.989015888153751,0.001620754405313396,0.0019577641165795523,20,0,1,18,2,1,0.00019741058349609375,0.008093833923339844,True
zcat20,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.03546075053567812,0.0040526796358808514,0.03565414950295855,0.004716570728304407,-0.0001933989672804337,-0.0006638910924235556,18,0,3,18,2,1,0.0024824142456054688,0.09681415557861328,False
zcat20,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9805720221084183,0.9915813012382575,0.982153267886927,0.989015888153751,-0.0015812457785087108,0.0025654130845065293,19,0,2,19,0,2,0.004284858703613281,0.12426090240478516,False
zcat20,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.05083337659329801,0.00376282278210963,0.03565414950295855,0.004716570728304407,0.015179227090339455,-0.0009537479461947771,19,0,2,19,0,2,0.008009910583496094,0.2402973175048828,False
zcat20,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9841352463899637,0.9913712780960873,0.982153267886927,0.989015888153751,0.0019819785030367187,0.0023553899423363056,20,0,1,20,0,1,1.9073486328125e-06,0.0001201629638671875,True
zcat20,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.03497534540529155,0.003910798761455982,0.03565414950295855,0.004716570728304407,-0.0006788040976670046,-0.0008057719668484254,20,0,1,20,0,1,0.00042629241943359375,0.02259349822998047,True
zcat20,hypervolume,True,gces,gces,gces_nocomp,gces-noComp,21,0.9837740222922404,0.9909736522703305,0.9805720221084183,0.9915813012382575,0.003202000183822107,-0.000607648967926977,6,0,15,4,2,15,0.03191947937011719,0.7660675048828125,False
zcat20,igd_plus,False,gces,gces,gces_nocomp,gces-noComp,21,0.03546075053567812,0.0040526796358808514,0.05083337659329801,0.00376282278210963,-0.015372626057619888,0.0002898568537712215,4,0,17,4,2,15,0.0037527084350585938,0.1238393783569336,False
zcat20,hypervolume,True,gces,gces,gces_nogeo,gces-noGeo,21,0.9837740222922404,0.9909736522703305,0.9841352463899637,0.9913712780960873,-0.00036122409772332276,-0.0003976258257567533,7,0,14,7,1,13,0.05019187927246094,1.0,False
zcat20,igd_plus,False,gces,gces,gces_nogeo,gces-noGeo,21,0.03546075053567812,0.0040526796358808514,0.03497534540529155,0.003910798761455982,0.00048540513038657085,0.0001418808744248698,8,0,13,7,1,13,0.11934185028076172,1.0,False
zcat3,hypervolume,True,gces,gces,nsgaii,nsgaii,21,0.9836935490398374,0.9837793494618562,0.9816255170652437,0.9815676162481549,0.0020680319745937092,0.0022117332137012724,20,0,1,19,1,1,1.9073486328125e-06,0.0001201629638671875,True
zcat3,igd_plus,False,gces,gces,nsgaii,nsgaii,21,0.007173284272490155,0.007079453820975683,0.007885478795013773,0.007942992285993284,-0.0007121945225236183,-0.0008635384650176013,19,0,2,19,1,1,0.00019741058349609375,0.01105499267578125,True
zcat3,hypervolume,True,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.9859878969908973,0.9858938686575738,0.9816255170652437,0.9815676162481549,0.004362379925653581,0.004326252409418863,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat3,igd_plus,False,gces_nocomp,gces-noComp,nsgaii,nsgaii,21,0.0060693932181974716,0.006109140813680246,0.007885478795013773,0.007942992285993284,-0.0018160855768163016,-0.0018338514723130377,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat3,hypervolume,True,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.9837030958332259,0.9838678174954679,0.9816255170652437,0.9815676162481549,0.002077578767982202,0.002300201247313005,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
zcat3,igd_plus,False,gces_nogeo,gces-noGeo,nsgaii,nsgaii,21,0.007156486820192088,0.007186439496803337,0.007885478795013773,0.007942992285993284,-0.0007289919748216852,-0.0007565527891899466,21,0,0,21,0,0,9.5367431640625e-07,9.5367431640625e-05,True
