problem,algorithm,algorithm_label,runs,hv_mean,hv_std,hv_median,igd_plus_mean,igd_plus_std,igd_plus_median,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median
zcat11,nsgaii,nsgaii,21,0.9886834601809943,0.0005967916460592998,0.9887252165981997,0.0053418460467308405,0.00028181870656177705,0.005266336130421329,2.132907742856159,0.07104444343866287,2.11569760000566
zcat11,nsga2_farthest,nsga2-farthest,21,0.9901381444391331,0.00619881496952396,0.9915313309676633,0.009212299313929275,0.023718305289617818,0.0040134636248927245,19.956043752382918,0.5448408929710548,19.913312000018777
zcat11,gces_nocomp,gces-noComp,21,0.9917246128948611,0.0004629673958616703,0.9917333166412403,0.003931346048424869,0.00019784853960763674,0.003917358336501958,8.770767952382032,0.17479298163452767,8.832452100003138
zcat11,gces_nogeo,gces-noGeo,21,0.9906336762850162,0.0005085017690908201,0.9906337349674758,0.004335679447546295,0.00023361108796895343,0.004330787639735565,4.1510325095247635,0.11894107005124008,4.1251427000097465
zcat11,gces,gces,21,0.9907404083811172,0.0005803407601676122,0.9907278016383191,0.004279807705024112,0.00019575091686454326,0.004304082664368474,4.915207104762972,0.14680921115853665,4.901727399992524
zcat12,nsgaii,nsgaii,21,0.9883459546172098,0.0005206352204986949,0.9884279030613075,0.00547669065354034,0.0002636030188761541,0.005506940668152715,2.0425790571441342,0.07926515154813284,2.042438900010893
zcat12,nsga2_farthest,nsga2-farthest,21,0.988870593991469,0.011877901779455325,0.9915465415656252,0.013400631409319328,0.04278661544140066,0.004030531522994621,19.461386085716576,0.5189322245059194,19.47891810000874
zcat12,gces_nocomp,gces-noComp,21,0.9886734182816186,0.011993156726585423,0.9912700114403142,0.013471060610174822,0.04286049969495126,0.0041297022540112745,8.965964090478208,0.21448544414120277,8.947658400022192
zcat12,gces_nogeo,gces-noGeo,21,0.9877749246893087,0.011778461632217282,0.9904875783108723,0.013844658500161889,0.042766126768832395,0.0044389575604013645,4.635017638091951,0.14295704385247773,4.63417059998028
zcat12,gces,gces,21,0.988215207371604,0.010250288676039524,0.9905167775427358,0.012442126656797578,0.03651515909414276,0.004442348539483393,5.403140333331456,0.12841465835423008,5.389503299986245
zcat13,nsgaii,nsgaii,21,1.0153449263436505,0.000583068447989826,1.015344065920437,0.0041202811954980855,0.0003224726515172683,0.004037946881302547,2.1019281476203884,0.07177691619302505,2.0887291000108235
zcat13,nsga2_farthest,nsga2-farthest,21,1.0173567166914668,0.0003978321398998588,1.017380846095924,0.0031533293166758724,0.00020073720050553227,0.00314630772537759,19.275917199998815,0.3708911318113898,19.275203600001987
zcat13,gces_nocomp,gces-noComp,21,1.0176699626074464,0.00031489893078552735,1.017634836517473,0.0030080300949032446,0.00016655309236407313,0.0030049730265922663,9.308725404763772,0.2546843835094986,9.291225600027246
zcat13,gces_nogeo,gces-noGeo,21,1.0169501885020684,0.0004561817128429121,1.0170258933732572,0.003147812006886323,0.00016898393107390018,0.0030900206625835373,4.883794804766131,0.14959712704538866,4.867205599992303
zcat13,gces,gces,21,1.0168682834131793,0.00037399381660077694,1.0169280908220506,0.0032028544982403004,0.0001504275558265422,0.003206320734623002,5.702012252381316,0.13609123624080846,5.681893600005424
zcat14,nsgaii,nsgaii,21,0.9749612551148688,0.001342149655713982,0.9750552734135233,0.007530290027572856,0.0004045050451997996,0.007443509556653826,2.071196028569137,0.07445467810771123,2.0457150999864098
zcat14,nsga2_farthest,nsga2-farthest,21,0.9809854257265876,0.0008906383794865495,0.9809197386330474,0.005782231588505196,0.0002702121207104969,0.005750347290968791,20.19117428571363,0.5352612609297205,20.349174100003438
zcat14,gces_nocomp,gces-noComp,21,0.980746908649165,0.0010054009377309572,0.9807334726532776,0.005865036626832674,0.00029719374363581765,0.00590206120115449,8.483850523811444,0.13194391906999053,8.471912100008922
zcat14,gces_nogeo,gces-noGeo,21,0.9791007016527327,0.0009645347832479067,0.9788894263982009,0.0065306977548796104,0.0004802231587694491,0.006471079366437298,4.713567295236446,0.13117928873298143,4.718569499993464
zcat14,gces,gces,21,0.9793035863006171,0.0011589203379455558,0.9791215505808852,0.006423820629091715,0.00045342302730034054,0.006311829817794904,5.881682109524263,0.1677406751429402,5.8344266999920364
zcat15,nsgaii,nsgaii,21,0.988346613796721,0.0005206492434990442,0.9884285442297749,0.005492005889190978,0.00025558030841886243,0.005556378712173695,2.0401569047646175,0.06612804733886946,2.023673499992583
zcat15,nsga2_farthest,nsga2-farthest,21,0.9888711158193836,0.01187881024322028,0.9915472816706982,0.013250486724330657,0.04205620561674274,0.004045539534498081,19.938798909523204,0.6173130331306415,20.004988600005163
zcat15,gces_nocomp,gces-noComp,21,0.9886739707598609,0.011994076703596175,0.9912707600499495,0.013316543504243258,0.04213276914878532,0.0041338539343641605,9.163672552381675,0.16640059771498134,9.14733370000613
