problem,algorithm,algorithm_label,seed,engine,pop_size,max_evaluations,n_var,n_obj,runtime_seconds,n_solutions,hypervolume,igd_plus
zcat10,gces,gces,4,numpy,100,25000,30,2,5.601757399999769,100,0.9577684734441219,0.004629332536692522
zcat10,gces,gces,5,numpy,100,25000,30,2,6.095824599993648,100,0.9545610010092391,0.003242131515630578
zcat10,gces,gces,6,numpy,100,25000,30,2,5.457570000027772,100,0.9548833281891189,0.0031110708365149754
zcat10,gces,gces,7,numpy,100,25000,30,2,6.111984599992866,100,0.9554138922440139,0.0032281849628980576
zcat10,gces,gces,8,numpy,100,25000,30,2,5.384694999986095,100,0.9604587355351607,0.002965460431015868
zcat10,gces,gces,9,numpy,100,25000,30,2,5.554360100009944,100,0.9547156258805191,0.0033368707327942376
zcat10,gces,gces,10,numpy,100,25000,30,2,5.731800499983365,100,0.9582827886254537,0.003207513754571505
zcat10,gces,gces,11,numpy,100,25000,30,2,5.441053300019121,100,0.9533115336037093,0.003596295815817759
zcat10,gces,gces,12,numpy,100,25000,30,2,5.474164899991592,100,0.9529736181215089,0.003806906794731549
zcat10,gces,gces,13,numpy,100,25000,30,2,5.907646800013026,100,0.9578900122106966,0.0027761336454513006
zcat10,gces,gces,14,numpy,100,25000,30,2,5.705037700012326,100,0.954455304807745,0.0033918634644695056
zcat10,gces,gces,15,numpy,100,25000,30,2,5.57758610000019,100,0.9551598368196651,0.003617621135222486
zcat10,gces,gces,16,numpy,100,25000,30,2,5.64512719999766,100,0.9511676223257917,0.0033064182093152077
zcat10,gces,gces,17,numpy,100,25000,30,2,5.905330600013258,100,0.9556867228562796,0.00858502069551975
zcat10,gces,gces,18,numpy,100,25000,30,2,6.263125700003002,100,0.9567109180568373,0.004919597919579788
zcat10,gces,gces,19,numpy,100,25000,30,2,5.951409100001911,100,0.95276223053504,0.003548811508073478
zcat10,gces,gces,20,numpy,100,25000,30,2,6.022788299975218,100,0.9564594076331178,0.003789608535930526
zcat11,nsgaii,nsgaii,0,numpy,100,25000,30,2,2.035203500010539,100,0.9885945678350773,0.0053171168196747606
zcat11,nsgaii,nsgaii,1,numpy,100,25000,30,2,2.0960084999969695,100,0.9887252165981997,0.005266336130421329
zcat11,nsgaii,nsgaii,2,numpy,100,25000,30,2,2.25948760000756,100,0.9882212350265452,0.005530333699653111
zcat11,nsgaii,nsgaii,3,numpy,100,25000,30,2,2.1842957000189926,100,0.9883087255102374,0.005609193015150377
zcat11,nsgaii,nsgaii,4,numpy,100,25000,30,2,2.11569760000566,100,0.987653369023701,0.005788966889314704
zcat11,nsgaii,nsgaii,5,numpy,100,25000,30,2,2.1698905999946874,100,0.9896617836812737,0.004951584937644836
zcat11,nsgaii,nsgaii,6,numpy,100,25000,30,2,2.2296329000091646,100,0.989041449360241,0.005146003023654805
zcat11,nsgaii,nsgaii,7,numpy,100,25000,30,2,2.0933689000084996,100,0.9893079044564371,0.0049764373295726975
zcat11,nsgaii,nsgaii,8,numpy,100,25000,30,2,2.0607202999817673,100,0.9881609718800639,0.0057191206196170975
zcat11,nsgaii,nsgaii,9,numpy,100,25000,30,2,2.1144110999885015,100,0.9891694422697404,0.005149461421374109
zcat11,nsgaii,nsgaii,10,numpy,100,25000,30,2,2.1806263999897055,100,0.9880088826337321,0.005681140561422251
zcat11,nsgaii,nsgaii,11,numpy,100,25000,30,2,2.1351126999943517,100,0.9877936902405611,0.00575138145598728
zcat11,nsgaii,nsgaii,12,numpy,100,25000,30,2,2.0074680999969132,100,0.989169041158111,0.005066896574165522
zcat11,nsgaii,nsgaii,13,numpy,100,25000,30,2,2.1657918999844696,100,0.989328021070637,0.00512783067366856
zcat11,nsgaii,nsgaii,14,numpy,100,25000,30,2,2.0803988000261597,100,0.988533709407984,0.005463918133228399
zcat11,nsgaii,nsgaii,15,numpy,100,25000,30,2,2.1017945999919903,100,0.9882643854769668,0.005471134622508987
zcat11,nsgaii,nsgaii,16,numpy,100,25000,30,2,2.048915899998974,100,0.9891758167987308,0.005154200085301817
zcat11,nsgaii,nsgaii,17,numpy,100,25000,30,2,2.110387799999444,100,0.988920921627658,0.00524218780748774
zcat11,nsgaii,nsgaii,18,numpy,100,25000,30,2,2.17949999999837,100,0.989350485090151,0.004979387246776456
zcat11,nsgaii,nsgaii,19,numpy,100,25000,30,2,2.146245899988571,100,0.9878519619112014,0.005670601906266952
zcat11,nsgaii,nsgaii,20,numpy,100,25000,30,2,2.27610379998805,100,0.9891110827436292,0.0051155340284558554
zcat11,nsga2_farthest,nsga2-farthest,0,numpy,100,25000,30,2,19.913312000018777,100,0.9631303318405487,0.11272513526981416
zcat11,nsga2_farthest,nsga2-farthest,1,numpy,100,25000,30,2,20.569164799991995,100,0.9915402766422082,0.0040068243464282
zcat11,nsga2_farthest,nsga2-farthest,2,numpy,100,25000,30,2,19.49952160002431,100,0.9918157197393939,0.0039081887632044015
