trial_id,score,config_json
29,0.6549981101508476,"{""pop_size"": 135, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7120542070452631, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.716804396655886, ""mutation_eta"": 12.424741364284301, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.531281428902447}"
30,0.547685324437835,"{""pop_size"": 187, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9530546604632505, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.0621718721173328, ""mutation_eta"": 36.23933150836909, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.3903188519530547}"
31,0.6637051788632232,"{""pop_size"": 164, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7804711306717265, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.096546441519973, ""mutation_eta"": 28.4121611350493, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_alpha"": 0.5041957224993315}"
32,0.8526571905732936,"{""pop_size"": 162, ""crossover"": ""sbx"", ""crossover_prob"": 0.8046580109148367, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.5860055519030412, ""mutation_eta"": 37.286146884861445, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_eta"": 11.564435371535692}"
33,0.8076069388218368,"{""pop_size"": 101, ""crossover"": ""sbx"", ""crossover_prob"": 0.9954592630455318, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.0911675269283412, ""mutation_eta"": 14.313431658136855, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_eta"": 26.006736023859904}"
34,0.7918437655593177,"{""pop_size"": 177, ""crossover"": ""sbx"", ""crossover_prob"": 0.6838817238431782, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 1.6598787884924802, ""mutation_eta"": 33.27533841654857, ""selection"": ""tournament"", ""selection_pressure"": 4, ""crossover_eta"": 33.07282152986231}"
35,0.8529833963372143,"{""pop_size"": 141, ""crossover"": ""sbx"", ""crossover_prob"": 0.8244122989145285, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.9757566930840793, ""mutation_eta"": 22.553259506436877, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_eta"": 36.811445652337184}"
36,0.6655155752363611,"{""pop_size"": 158, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.7307086534951535, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 0.8485996106995387, ""mutation_eta"": 32.823650547087155, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.4641684864251552}"
37,0.6531575370213798,"{""pop_size"": 130, ""crossover"": ""blx_alpha"", ""crossover_prob"": 0.9317170535312971, ""mutation"": ""non_uniform"", ""mutation_prob_factor"": 2.3668586515444563, ""mutation_eta"": 7.2441754443301, ""selection"": ""tournament"", ""selection_pressure"": 2, ""crossover_alpha"": 0.445155960031991}"
38,0.49344430250839216,"{""pop_size"": 158, ""crossover"": ""sbx"", ""crossover_prob"": 0.9110089760029644, ""mutation"": ""pm"", ""mutation_prob_factor"": 2.3347373611316176, ""mutation_eta"": 24.09747770019101, ""selection"": ""tournament"", ""selection_pressure"": 3, ""crossover_eta"": 13.02646607029952}"
