experiment,problem,n_obj,n_var,pop_size,n_evals,seed,engine,timing_policy,runtime_seconds,runtime_per_eval,hypervolume
population,zdt4,2,10,800,50000,2,numba,warm,6.804695700000593,0.00013609391400001185,0.6543539878183454
population,zdt4,2,10,800,50000,3,numpy,,27.518526500000007,0.0005503705300000002,0.2154597483115517
population,zdt4,2,10,800,50000,3,numba,warm,6.954355399997439,0.00013908710799994878,0.376730740587972
population,zdt4,2,10,800,50000,4,numpy,,30.964598400001705,0.0006192919680000341,0.0
population,zdt4,2,10,800,50000,4,numba,warm,4.956336299997929,9.912672599995858e-05,0.13255648303125012
population,dtlz2,3,12,50,50000,0,numpy,,8.875067000000854,0.0001775013400000171,0.6912888489543838
population,dtlz2,3,12,50,50000,0,numba,warm,6.202836600001319,0.0001240567320000264,0.73000373531954
population,dtlz2,3,12,50,50000,1,numpy,,9.07484359999944,0.0001814968719999888,0.7044359653440263
population,dtlz2,3,12,50,50000,1,numba,warm,5.582592400001886,0.00011165184800003772,0.6985397915375445
population,dtlz2,3,12,50,50000,2,numpy,,7.106586800000514,0.00014213173600001027,0.6967378043052471
population,dtlz2,3,12,50,50000,2,numba,warm,4.982182799998554,9.964365599997108e-05,0.7114285067164209
population,dtlz2,3,12,50,50000,3,numpy,,9.999293799999577,0.00019998587599999156,0.676823844215666
population,dtlz2,3,12,50,50000,3,numba,warm,8.960183999999572,0.00017920367999999144,0.7135593077967861
population,dtlz2,3,12,50,50000,4,numpy,,6.416913299999578,0.00012833826599999157,0.7231783248860388
population,dtlz2,3,12,50,50000,4,numba,warm,3.9965776999997615,7.993155399999523e-05,0.7088444032114922
population,dtlz2,3,12,100,50000,0,numpy,,8.50306289999935,0.00017006125799998699,0.782562404970092
population,dtlz2,3,12,100,50000,0,numba,warm,5.909415499998431,0.00011818830999996862,0.7898012551010651
population,dtlz2,3,12,100,50000,1,numpy,,8.833605100000568,0.00017667210200001136,0.7760471596897145
population,dtlz2,3,12,100,50000,1,numba,warm,2.701378099998692,5.4027561999973844e-05,0.7940067269378768
