framework,problem,seed,n_evals,hypervolume
VAMOS (numba),zdt1,1,8000,0.9148757557884855
VAMOS (numba),zdt1,1,9000,0.9372285281923737
VAMOS (numba),zdt1,1,10000,0.9516050913298044
VAMOS (numba),zdt1,1,11000,0.9624787809769098
VAMOS (numba),zdt1,1,12000,0.9678289707430312
VAMOS (numba),zdt1,1,13000,0.9725442766229082
VAMOS (numba),zdt1,1,14000,0.977158251893669
VAMOS (numba),zdt1,1,15000,0.9797707038930731
VAMOS (numba),zdt1,1,16000,0.981881719003878
VAMOS (numba),zdt1,1,17000,0.9836120078515901
VAMOS (numba),zdt1,1,18000,0.9856442470212975
VAMOS (numba),zdt1,1,19000,0.9867703428289251
VAMOS (numba),zdt1,1,20000,0.9866965933384965
VAMOS (numba),zdt1,1,21000,0.9879497653703376
VAMOS (numba),zdt1,1,22000,0.9879623995706063
VAMOS (numba),zdt1,1,23000,0.9889552967230812
VAMOS (numba),zdt1,1,24000,0.9891960592775119
VAMOS (numba),zdt1,1,25000,0.9900959889451957
VAMOS (numba),zdt1,1,26000,0.9900001064660623
VAMOS (numba),zdt1,1,27000,0.9899295625209292
VAMOS (numba),zdt1,1,28000,0.9898735452003272
VAMOS (numba),zdt1,1,29000,0.9906998343937461
VAMOS (numba),zdt1,1,30000,0.9899833036760577
VAMOS (numba),zdt1,1,31000,0.9900787160103424
VAMOS (numba),zdt1,1,32000,0.9897796239859945
VAMOS (numba),zdt1,1,33000,0.9886938829651722
VAMOS (numba),zdt1,1,34000,0.9902973818564503
VAMOS (numba),zdt1,1,35000,0.9901725343670745
VAMOS (numba),zdt1,1,36000,0.9907471666642985
VAMOS (numba),zdt1,1,37000,0.9902807487063131
VAMOS (numba),zdt1,1,38000,0.9907165302182837
VAMOS (numba),zdt1,1,39000,0.9903560234749709
VAMOS (numba),zdt1,1,40000,0.9907729963867171
VAMOS (numba),zdt1,1,41000,0.9905566181968376
VAMOS (numba),zdt1,1,42000,0.9911803070471048
VAMOS (numba),zdt1,1,43000,0.9905776630670947
VAMOS (numba),zdt1,1,44000,0.9910273433472968
VAMOS (numba),zdt1,1,45000,0.990876897584281
VAMOS (numba),zdt1,1,46000,0.9905107725143861
VAMOS (numba),zdt1,1,47000,0.9898381544179349
VAMOS (numba),zdt1,1,48000,0.9911153023336687
VAMOS (numba),zdt1,1,49000,0.9915129832252677
VAMOS (numba),zdt1,1,50000,0.9906171249692182
pymoo,zdt1,1,1000,0.0
pymoo,zdt1,1,2000,0.1386357178824375
pymoo,zdt1,1,3000,0.40311459835800156
pymoo,zdt1,1,4000,0.5234758692172589
pymoo,zdt1,1,5000,0.601713105847707
pymoo,zdt1,1,6000,0.6466351683651761
pymoo,zdt1,1,7000,0.677365840628645
pymoo,zdt1,1,8000,0.6913546300383793
pymoo,zdt1,1,9000,0.7062041832809544
pymoo,zdt1,1,10000,0.7201719597311781
pymoo,zdt1,1,11000,0.7435007308855383
