variant,problem,engine,n_evals,seed,evals,runtime_seconds,hypervolume
baseline,zdt1,numba,100000,6,5000,1.5887110019975808,0.7939424157186017
baseline,zdt1,numba,100000,6,10000,1.6750390300003346,0.9639322331778089
baseline,zdt1,numba,100000,6,20000,1.8529551190003983,0.987614035207768
baseline,zdt1,numba,100000,6,50000,2.3813323629947263,0.9906904762676948
baseline,zdt1,numba,100000,6,100000,3.261343152000336,0.9910783555739342
baseline,zdt1,numba,100000,7,5000,1.527750306006055,0.7578823854917065
baseline,zdt1,numba,100000,7,10000,1.6126148660041508,0.9616956106586634
baseline,zdt1,numba,100000,7,20000,1.786180453003908,0.9885198548379792
baseline,zdt1,numba,100000,7,50000,2.3097036690014647,0.991311788786921
baseline,zdt1,numba,100000,7,100000,3.186162038000475,0.9901706734678898
baseline,zdt1,numba,100000,8,5000,1.528304670995567,0.740206762694087
baseline,zdt1,numba,100000,8,10000,1.6122145199988154,0.9608960626633416
baseline,zdt1,numba,100000,8,20000,1.7868059869942954,0.9874354667383862
baseline,zdt1,numba,100000,8,50000,2.312551093993534,0.9901373217948132
baseline,zdt1,numba,100000,8,100000,3.193181327995262,0.9909667446566244
baseline,zdt1,numba,100000,9,5000,1.5288360970007489,0.686892720274953
baseline,zdt1,numba,100000,9,10000,1.6125545659961062,0.9523503722209624
baseline,zdt1,numba,100000,9,20000,1.7853634290004263,0.9875167731217472
baseline,zdt1,numba,100000,9,50000,2.3091318130027503,0.9905071838686376
baseline,zdt1,numba,100000,9,100000,3.18557130300178,0.9913123359908476
baseline,zdt1,numba,100000,10,5000,1.5875122819998069,0.7633368876338095
baseline,zdt1,numba,100000,10,10000,1.6715342190000229,0.9634537476329236
baseline,zdt1,numba,100000,10,20000,1.844213584001409,0.988675911047631
baseline,zdt1,numba,100000,10,50000,2.365816746001656,0.989856983133293
baseline,zdt1,numba,100000,10,100000,3.235516564003774,0.9901322206322788
baseline,zdt1,numba,100000,11,5000,1.5849866839998867,0.7049933021155511
baseline,zdt1,numba,100000,11,10000,1.6691216999970493,0.9611167153022556
baseline,zdt1,numba,100000,11,20000,1.846421763999388,0.9883531689226844
baseline,zdt1,numba,100000,11,50000,2.370680273998005,0.990476228044479
baseline,zdt1,numba,100000,11,100000,3.246932254995045,0.9906139179252405
baseline,zdt1,numba,100000,12,5000,1.583758515000227,0.7425980554030338
baseline,zdt1,numba,100000,12,10000,1.6688816629975918,0.9630899129490288
baseline,zdt1,numba,100000,12,20000,1.8426571379968664,0.988044996880365
baseline,zdt1,numba,100000,12,50000,2.3657821669985424,0.9904527188304928
baseline,zdt1,numba,100000,12,100000,3.243821742995351,0.9906723995729956
baseline,zdt1,numba,100000,13,5000,1.5843356490004226,0.7882924014693542
baseline,zdt1,numba,100000,13,10000,1.6692621390029672,0.9636508497596762
baseline,zdt1,numba,100000,13,20000,1.8430504330026447,0.9869591865769312
baseline,zdt1,numba,100000,13,50000,2.367846699002257,0.9903976289087048
baseline,zdt1,numba,100000,13,100000,3.2414759430030244,0.9911117048169984
baseline,zdt1,numba,100000,14,5000,1.5838296829970204,0.770013263560701
baseline,zdt1,numba,100000,14,10000,1.66884857200057,0.9630169805979092
baseline,zdt1,numba,100000,14,20000,1.844787148998876,0.9875322625673
baseline,zdt1,numba,100000,14,50000,2.365626967002754,0.9900431553029764
baseline,zdt1,numba,100000,14,100000,3.234504503001517,0.9908247109881524
baseline,zdt1,numba,100000,15,5000,1.5835016359997098,0.7047535405207094
baseline,zdt1,numba,100000,15,10000,1.6670879970042731,0.9561258648116993
baseline,zdt1,numba,100000,15,20000,1.8410678400032336,0.9867421076006726
baseline,zdt1,numba,100000,15,50000,2.368292275001295,0.9913431698477218
