framework,problem,median_delta_percent,ci_low_percent,ci_high_percent,equivalent,non_inferior
jMetalPy,zcat7,0.019298575034445382,-0.009246314594880699,0.04539046875217843,True,True
jMetalPy,zcat8,0.03881869629004256,-0.10139408658896934,0.13030243197673488,True,True
jMetalPy,zcat9,-0.021819821694984937,-0.058276677337712066,0.005270294699208911,True,True
jMetalPy,zdt1,-0.022396958228865706,-0.035386205755241845,0.008350550502238539,True,True
jMetalPy,zdt2,-0.012877066089417338,-0.0315629839084553,0.01951420755697437,True,True
jMetalPy,zdt3,-0.004938056647560115,-0.014104604371284468,0.003906917731208057,True,True
jMetalPy,zdt4,-0.03879002914154927,-0.11188178187602243,0.017177258772125364,True,True
jMetalPy,zdt6,0.13758758712367447,0.08948873833647494,0.16202910021951375,True,True
DEAP,dtlz1,-0.3787191828204279,-0.47851476106565555,0.050846701021211485,True,True
DEAP,dtlz2,-1.014247142960526,-1.2323086784588002,-0.4621757480727411,False,False
DEAP,dtlz3,6.530314807650341,-5.532041942765182,12.886373640563736,False,False
DEAP,dtlz4,-0.3418624923874565,-0.7921266715252908,0.00014088901694560762,True,True
DEAP,dtlz5,0.07402365588360688,-0.07093078246098507,0.11291905016147187,True,True
DEAP,dtlz6,-11.84599378835139,-18.272096544671488,5.3690709066358,False,False
DEAP,dtlz7,-0.5095311631150778,-0.8484793258409257,-0.09036739345762212,True,True
DEAP,wfg1,-6.063497575171131,-13.933544760561903,1.492972000090091,False,False
DEAP,wfg2,-0.08288781828488956,-0.14190341976041113,0.07988352915943121,True,True
DEAP,wfg3,-0.09032889239266863,-0.19111191009133285,0.08134551182533732,True,True
DEAP,wfg4,-0.1865893391233525,-0.3360816045865651,-0.02111363809924652,True,True
DEAP,wfg5,-0.01184429862788181,-0.0695224874044371,0.038485907069414745,True,True
DEAP,wfg6,0.14940614037431704,-1.5946710605679908,1.5170838377970466,False,False
DEAP,wfg7,-0.07603373181738399,-0.20646830677485814,0.03398631807604504,True,True
DEAP,wfg8,0.86335100752419,0.22691954039602233,1.0741761132022996,False,True
DEAP,wfg9,1.252240905549074,0.12964705215823333,31.541821949114368,False,True
DEAP,zcat1,-0.009092652168070403,-0.051017486824516636,0.01912042772002463,True,True
DEAP,zcat10,-0.028146130569013043,-0.2683759478971037,0.16944820859277568,True,True
DEAP,zcat11,0.0023579056036361597,-0.005787399580507267,0.028715355296592193,True,True
DEAP,zcat12,0.002886402799387548,-0.03960634334633978,0.033197436332711085,True,True
DEAP,zcat13,-0.025100403658185028,-0.0412539598969976,0.006962550077499211,True,True
DEAP,zcat14,-0.0100036042063805,-0.07963607994147359,0.03684325918258614,True,True
DEAP,zcat15,0.002885422268978445,-0.03415171612049417,0.03318193369397932,True,True
DEAP,zcat16,-0.019047101894598205,-0.03432522701986096,0.0071918768344965515,True,True
DEAP,zcat17,-0.012294854198656389,-0.02767771742450874,0.00956710128800465,True,True
DEAP,zcat18,0.015170547088648028,-0.03298206036531667,0.062119206559415545,True,True
DEAP,zcat19,-0.02669770660723336,-0.055191955314006176,0.03616379554998666,True,True
DEAP,zcat2,-0.0009218263547003416,-0.010354724962933262,0.014708965832444123,True,True
DEAP,zcat20,0.015105625116326958,-0.032946901677070095,0.06216350181133968,True,True
DEAP,zcat3,0.028168263909164572,-0.022638079401014366,0.04521236875995455,True,True
DEAP,zcat4,0.02815408873547874,-0.022810864670896668,0.04513307156181394,True,True
DEAP,zcat5,-0.012277017649012465,-0.02768531860472892,0.009593648704013986,True,True
DEAP,zcat6,-0.013475883144616537,-0.02198495431443141,0.0007602816462380643,True,True
DEAP,zcat7,0.015151168664215984,-0.034113488942449983,0.061872777996604324,True,True
DEAP,zcat8,0.039680394161570466,-0.03787056404442663,0.08891034595211443,True,True
DEAP,zcat9,0.03968039416157368,-0.0418236684324904,0.08753373591116485,True,True
DEAP,zdt1,-0.01709513977306551,-0.04213815153398056,0.012624621840292375,True,True
DEAP,zdt2,-0.03907970272661731,-0.059349605227472145,-0.022380099946174882,True,True
DEAP,zdt3,0.000768474024487649,-0.015841110523166113,0.008423793248502173,True,True
DEAP,zdt4,0.03520443766450545,-0.08471803173942653,0.10110342739283328,True,True
DEAP,zdt6,0.15583078629948052,0.10604124844422252,0.19295762120747365,True,True
Platypus,dtlz1,0.4702086430620225,-0.0700601398686942,0.8460618696044898,True,True
Platypus,dtlz2,-0.28447965598538,-0.8183962926965462,0.3753622996840351,True,True
Platypus,dtlz3,16.77812888963687,9.528907107341473,36.42362805144454,False,True
Platypus,dtlz4,2.2903048976707883,-0.9431564456361378,76.01142623175289,False,True
Platypus,dtlz5,-0.10449621452086079,-0.18812425004062652,0.017003463766580188,True,True
Platypus,dtlz6,-19.801996156937445,-32.38807788558172,-13.138967805919465,False,False
Platypus,dtlz7,1.258885294180276,-1.10365365063692,12.211233336255066,False,False
Platypus,wfg1,65.98811640101793,41.86862576533928,81.96630153677773,False,True
Platypus,wfg2,-0.10300958541263072,-0.22904504610574988,0.04787575645982862,True,True
Platypus,wfg3,-0.17932548443966692,-0.28055598154966416,-0.12012106341271597,True,True
Platypus,wfg4,-0.4366572077962401,-0.6402941557277223,-0.28633228140110173,True,True
Platypus,wfg5,-0.34467542284669106,-0.42379995564503825,-0.23842640492331718,True,True
Platypus,wfg6,-0.8644060063187421,-1.845355932413844,0.9726116391242481,False,False
Platypus,wfg7,-0.1545836810185265,-0.20166877198489097,-0.08236216051804898,True,True
Platypus,wfg8,-3.398581224000721,-3.7536687870533076,-3.086528118596781,False,False
Platypus,wfg9,0.21666002046690164,-0.5764663640031864,1.7696226295840067,False,True
Platypus,zcat1,0.05227962491488236,-0.0028538047665371017,0.10878480569894772,True,True
Platypus,zcat10,0.26046949079914716,-0.19437223255946473,0.4539629195534433,True,True
Platypus,zcat11,0.10737185256051232,0.08331089609066643,0.12822656356322598,True,True
Platypus,zcat12,0.07938904689323772,0.051863069069349475,0.11195437360860827,True,True
Platypus,zcat13,0.046180181162727894,0.02608753623147551,0.05336078704416526,True,True
Platypus,zcat14,0.10546818069285885,0.07193700618728094,0.12744850385207557,True,True
Platypus,zcat15,0.07940180303595444,0.05184596993775089,0.11195296999071525,True,True
Platypus,zcat16,0.10769799297046159,0.05411657500054561,0.12316654147616632,True,True
Platypus,zcat17,0.04196515745262078,0.01926733407256999,0.05777251915537684,True,True
Platypus,zcat18,0.06485887567856084,0.039912082533300884,0.12240477312754977,True,True
Platypus,zcat19,0.05594906925140223,0.023825704651468434,0.09164936660933796,True,True
Platypus,zcat2,0.04086636562805943,0.027731752993535995,0.048610931997096624,True,True
