suite,comparison_name,left_variant,right_variant,cases,wins,losses,ties,mean_hv_gap,median_hv_gap,mean_runtime_ratio,median_runtime_ratio,mean_reward_gap,median_reward_gap,mean_igd_plus_gap,median_igd_plus_gap
overall,hierarchical_vs_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,14,6,5,3,0.03848523758380362,0.0,0.9912550907923556,0.9923121035020288,0.0005345077436191975,0.00024414411559507687,-0.001980608390256998,-0.001512296037874783
overall,hierarchical_vs_flat_operator,adaptive_hierarchical_joint,adaptive_flat_operator,14,6,8,0,0.11481776723576902,-0.016860700780486182,1.0136173112580018,1.0101856547632946,-0.01637686888772834,-0.011387012515496509,-0.035888715940075824,-0.027384517565443828
overall,hierarchical_vs_flat_parameter,adaptive_hierarchical_joint,adaptive_flat_parameter,14,8,6,0,-0.25151661458194635,0.053599747176488854,0.9815088920345725,0.9922204684035616,-0.040931308707553495,-0.0321312723486758,0.047011854852456965,0.026918960956108268
overall,fixed_family_sbx_vs_flat_parameter,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,14,0,0,14,0.0,0.0,0.988649461767603,0.9700613794879914,0.0,0.0,0.0,0.0
overall,adaptive_flat_operator_vs_best_fixed,adaptive_flat_operator,fixed_sbx,14,7,7,0,0.1410478070889125,0.018128015503093398,2.477278454841177,1.461603315390669,0.2526507365574598,0.2195231427679813,0.04232026790313772,0.047075498065031085
overall,adaptive_flat_parameter_vs_best_fixed,adaptive_flat_parameter,fixed_sbx,14,7,7,0,0.5073821889066279,0.013463161974644589,2.536548785409728,1.5475065370948147,0.27720517637728487,0.2414726011337024,-0.04058030288939507,-0.019117460994515223
overall,adaptive_hierarchical_joint_no_regime_vs_best_fixed,adaptive_hierarchical_joint_no_regime,fixed_sbx,14,10,4,0,0.21738033674087792,0.10273619963661051,2.5225535664202967,1.558709431162301,0.2357393599261122,0.21372461628747574,0.008412160353318892,-0.010141952622667552
zcat,adaptive_hierarchical_joint_vs_best_fixed,adaptive_hierarchical_joint,fixed_sbx,8,5,3,0,0.3302154434741875,0.15603685257126898,2.354237588585679,1.3133804740602795,0.2490477811510117,0.2501785951914052,0.028855943626446848,0.05027769043438979
zcat,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,8,5,3,0,0.8942513835852073,0.83148613276013,2.3856990717093147,1.3153262649353756,0.2926868248527077,0.2860629303588518,-0.07127211535202632,-0.04658481216129559
zcat,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,8,3,5,0,-0.9110674724465895,-1.4946731678503298,2.4068833963639342,1.2838280359770455,0.23722306292866868,0.2350843979806165,0.18376741713582964,0.2249992839861367
zcat,hierarchical_vs_fixed_family_sbx,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,8,3,5,0,-0.5640359401110198,-0.8254679482966232,0.9916920239669494,0.998170578298744,-0.04363904370169597,-0.037355161639793785,0.10012805897847318,0.10385150830593495
zcat,hierarchical_vs_fixed_family_de,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,8,7,1,0,1.241282915920777,1.368365714346396,0.9903812486190879,0.9832885185804279,0.011824718222343024,0.009418893491674282,-0.15491147350938278,-0.1821780843018098
zcat,hierarchical_vs_no_regime,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,8,5,2,1,0.0776910619452269,0.07113057984096827,0.9878299966342186,0.9923121035020288,0.0015222033042085678,0.0018512528562193986,-0.012812328122525925,-0.011491419343210935
zcat,hierarchical_vs_flat_operator,adaptive_hierarchical_joint,adaptive_flat_operator,8,3,5,0,0.14494669579388564,-0.13812901128590305,0.9964271999936256,0.9941154732510311,-0.01738975295145234,-0.01497538792234554,-0.029512391791946847,-0.027384517565443828
zcat,hierarchical_vs_flat_parameter,adaptive_hierarchical_joint,adaptive_flat_parameter,8,3,5,0,-0.5640359401110198,-0.8254679482966232,0.9701445997053704,0.9791222701485773,-0.04363904370169597,-0.037355161639793785,0.10012805897847318,0.10385150830593495
zcat,fixed_family_sbx_vs_flat_parameter,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,8,0,0,8,0.0,0.0,0.9789730148467379,0.9703814380117581,0.0,0.0,0.0,0.0
zcat,adaptive_flat_operator_vs_best_fixed,adaptive_flat_operator,fixed_sbx,8,3,5,0,0.18526874768030188,-0.3199270479127616,2.3652976509392123,1.282481106849916,0.26643753410246407,0.26216722522688707,0.058368335418393695,0.07524409701765752
zcat,adaptive_flat_parameter_vs_best_fixed,adaptive_flat_parameter,fixed_sbx,8,5,3,0,0.8942513835852073,0.83148613276013,2.407439114372689,1.355515587970446,0.2926868248527077,0.2860629303588518,-0.07127211535202632,-0.04658481216129559
zcat,adaptive_hierarchical_joint_no_regime_vs_best_fixed,adaptive_hierarchical_joint_no_regime,fixed_sbx,8,5,3,0,0.2525243815289606,0.2040100110470373,2.3827132867763496,1.313169396673642,0.24752557784680315,0.24730328490341236,0.04166827174897277,0.03264231529106695
