suite,host,variant,component,component_group,n_runs,mean_time_ms,median_time_ms,mean_share_of_total_runtime,median_share_of_total_runtime
anchor,all_hosts,fixed_sbx,policy_update_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,decode_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,trace_time,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,variation_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,evaluation_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,survival_time,host,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,control_total,control,30,0.0,0.0,0.0,0.0
anchor,all_hosts,fixed_sbx,host_pipeline_total,host,30,0.0,0.0,0.0,0.0
anchor,moead,adaptive_flat_operator,start_step_time,control,15,0.9166133493029823,0.8980999991763383,0.0015131872208255577,0.0015043646538760028
anchor,moead,adaptive_flat_operator,router_time,control,15,0.46155334130162373,0.44240005809115246,0.0007609994740273666,0.0007225230036517999
anchor,moead,adaptive_flat_operator,policy_select_time,control,15,13.913539996913945,13.948400053777732,0.023021696553147064,0.023109871811353516
anchor,moead,adaptive_flat_operator,policy_update_time,control,15,6.104686684072173,6.1064000183250755,0.010098479898948893,0.010168206194386424
anchor,moead,adaptive_flat_operator,decode_time,control,15,35.89213335168703,35.673900187248364,0.05932366993536213,0.05929552285049576
anchor,moead,adaptive_flat_operator,trace_time,control,15,1.3878999467124231,1.3686998790944926,0.0022969243148951183,0.002283010718869397
anchor,moead,adaptive_flat_operator,variation_time,host,15,82.17741334422801,81.51899994845735,0.13595234068831977,0.13872459485959182
anchor,moead,adaptive_flat_operator,evaluation_time,host,15,24.07483334488158,24.2878001081408,0.039718050411147884,0.03804137928116502
anchor,moead,adaptive_flat_operator,survival_time,host,15,210.66116666430995,204.87619988853112,0.34783634195113405,0.35011153988145083
anchor,moead,adaptive_flat_operator,control_total,control,15,58.67642666999018,58.2025001058355,0.09701495739720613,0.09727707570128569
anchor,moead,adaptive_flat_operator,host_pipeline_total,host,15,316.91341335341957,318.1844998616725,0.5235067330506016,0.5216415259429342
anchor,moead,adaptive_flat_parameter,start_step_time,control,15,0.887079983658623,0.8937000820878893,0.0014375221962014163,0.0014373102980775054
anchor,moead,adaptive_flat_parameter,router_time,control,15,0.44504002483639243,0.42749989370349795,0.0007193546338625359,0.0007026678635627442
anchor,moead,adaptive_flat_parameter,policy_select_time,control,15,15.06148667782933,14.981800013629254,0.024410495804204176,0.024688654228975992
anchor,moead,adaptive_flat_parameter,policy_update_time,control,15,6.171440004254691,6.172000117658172,0.010007737536919402,0.010034785173916694
anchor,moead,adaptive_flat_parameter,decode_time,control,15,46.80819333637677,41.33829998318106,0.07517668251787718,0.06804455990450578
anchor,moead,adaptive_flat_parameter,trace_time,control,15,1.4552000002974335,1.4518000025418587,0.002362928447425828,0.0023011377081987626
anchor,moead,adaptive_flat_parameter,variation_time,host,15,74.97511334950104,74.48689993179869,0.12152307524023409,0.12050511502736252
anchor,moead,adaptive_flat_parameter,evaluation_time,host,15,24.513260026287753,24.53049994801404,0.03956346831293713,0.03889288867660718
anchor,moead,adaptive_flat_parameter,survival_time,host,15,211.00289332680404,206.45589994092006,0.34181022786784304,0.3455031649833595
anchor,moead,adaptive_flat_parameter,control_total,control,15,70.82844002725324,65.41879998985678,0.11411472113649053,0.10741291945347317
anchor,moead,adaptive_flat_parameter,host_pipeline_total,host,15,310.49126670259284,311.8631000907044,0.5028967714210143,0.5054292292448167
anchor,moead,adaptive_hierarchical_joint,start_step_time,control,15,0.9243066888302565,0.9363000208395533,0.0014725828379800131,0.0014768639431181215
anchor,moead,adaptive_hierarchical_joint,router_time,control,15,0.45493337626491365,0.43219995859544724,0.0007262438184837592,0.000688657668750967
