suite,host,problem,left_variant,right_variant,comparison_name,comparison_kind,hv_gap,runtime_ratio,reward_gap,igd_plus_gap,outcome
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_sbx,hierarchical_vs_fixed_family_sbx,pairwise,-0.006033362763247396,0.88862496365675,-0.04323110847846243,0.028180009279831497,loss
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint,adaptive_hierarchical_joint_fixed_family_de,hierarchical_vs_fixed_family_de,pairwise,0.05913261393006586,0.9435970909496157,0.008009554160536447,-0.02948019779564065,win
anchor,nsgaii,dtlz2,adaptive_hierarchical_joint_fixed_family_sbx,adaptive_flat_parameter,fixed_family_sbx_vs_flat_parameter,pairwise,0.0,1.1447837327817776,0.0,0.0,tie
anchor,nsgaii,zdt1,adaptive_flat_operator,fixed_sbx,adaptive_flat_operator_vs_best_fixed,vs_best_fixed,0.14043920839801016,1.3411315767385994,0.2237065231180241,-0.11271485710029305,win
anchor,nsgaii,zdt1,adaptive_flat_parameter,fixed_sbx,adaptive_flat_parameter_vs_best_fixed,vs_best_fixed,-0.0035969640850153084,1.4734590404505186,0.24010590198918166,0.00592742451153927,loss
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,fixed_sbx,adaptive_hierarchical_joint_vs_best_fixed,vs_best_fixed,0.12641517557713478,1.3387223651888505,0.2213158786022146,-0.09980807269263064,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint_fixed_family_de,fixed_sbx,adaptive_hierarchical_joint_fixed_family_de_vs_best_fixed,vs_best_fixed,0.007971774216554373,1.3822233886108881,0.21167103563988454,-0.03134056834467752,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint_fixed_family_sbx,fixed_sbx,adaptive_hierarchical_joint_fixed_family_sbx_vs_best_fixed,vs_best_fixed,-0.0035969640850153084,1.3718272109694878,0.24010590198918166,0.00592742451153927,loss
anchor,nsgaii,zdt1,adaptive_hierarchical_joint_no_regime,fixed_sbx,adaptive_hierarchical_joint_no_regime_vs_best_fixed,vs_best_fixed,0.11675256424517322,1.3741638196747108,0.22082759037102445,-0.09616040777895674,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_flat_operator,hierarchical_vs_flat_operator,pairwise,-0.014024032820875387,0.9982035979231749,-0.0023906445158095035,0.012906784407662408,loss
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_flat_parameter,hierarchical_vs_flat_parameter,pairwise,0.13001213966215008,0.9085575699338941,-0.01879002338696706,-0.10573549720416991,win
anchor,nsgaii,zdt1,adaptive_hierarchical_joint,adaptive_hierarchical_joint_no_regime,hierarchical_vs_no_regime,pairwise,0.009662611331961557,0.9742087122521899,0.0004882882311901537,-0.003647664913673909,win
